ID,Interlocutore,Frase,Sentiment,Dominant_Sentiment,Emotion,Dominant_Emotion
2,a,per me è oro. ,"Negative: 0.0008085%,
Neutral: 0.1070225%,
Positive: 0.8921689%",POSITIVE,"'anger', (0.0001960),
 'fear', (0.0001669),
 'joy', (0.9993568),
 'sadness', (0.0002803)",joy
2,p,meno male che a me angioletto mi da. ,"Negative: 0.0032824%,
Neutral: 0.0123875%,
Positive: 0.9843300%",POSITIVE,"'anger', (0.0005761),
 'fear', (0.0003336),
 'joy', (0.0006582),
 'sadness', (0.9984321)",sadness
2,a,ma la vuoi finire. peppino ,"Negative: 0.7825987%,
Neutral: 0.2153571%,
Positive: 0.0020442%",NEGATIVE,"'anger', (0.9966023),
 'fear', (0.0001612),
 'joy', (0.0001378),
 'sadness', (0.0030986)",anger
2,a,io te l’ho detto pure queste cose non. non le facciamo uscire fuori se le facciamo uscire fuori. sicuramente non le. ,"Negative: 0.9867633%,
Neutral: 0.0126744%,
Positive: 0.0005624%",NEGATIVE,"'anger', (0.9984196),
 'fear', (0.0003609),
 'joy', (0.0000574),
 'sadness', (0.0011622)",anger
2,p,se le volevo fare uscire fuori. perciò dammi carte angioletto. è l’occasione buona ci facciamo. due tre anni. ,"Negative: 0.0012697%,
Neutral: 0.1508183%,
Positive: 0.8479119%",POSITIVE,"'anger', (0.0001252),
 'fear', (0.0003294),
 'joy', (0.9770622),
 'sadness', (0.0224831)",joy
2,a,"non le tengo adesso. fammi fare un paio di carte buone e te le prendi. come ho fatta questa. una quindicina di giorni e te li do. le usiamo e te le do, però devo prendere le carte buone della gente onesta. gliele ho date si sono.  non ti preoccupare tra una quindicina di giorni te li do gli 11. 000 euro. 50. 000 euro. ","Negative: 0.0029182%,
Neutral: 0.0219337%,
Positive: 0.9751481%",POSITIVE,"'anger', (0.0552492),
 'fear', (0.9070123),
 'joy', (0.0011828),
 'sadness', (0.0365556)",fear
2,p,"per te non sono niente, lo so angioletto. ","Negative: 0.0022767%,
Neutral: 0.0217959%,
Positive: 0.9759275%",POSITIVE,"'anger', (0.0001456),
 'fear', (0.0001441),
 'joy', (0.9988366),
 'sadness', (0.0008738)",joy
2,p,"quello. alduccio si ha mangiato i miliardi. ma cosa ci hanno fatto con questi soldi. ma dove stanno. se io avessi 100 milioni di lire nelle mani, durante io il mese successevi ne tengo già 110. e dopo tre mesi ne tengo già 130. anzi 133 perchè io mi vendo i soldi che già mi sono venduti due volti. questi vanno al nigth. alla discoteca 50 milioni. e non pagano a nessuno. poi con noi. “queste brutte figure qua non si devono fare”. ","Negative: 0.8540674%,
Neutral: 0.1364315%,
Positive: 0.0095011%",NEGATIVE,"'anger', (0.9994223),
 'fear', (0.0001786),
 'joy', (0.0001623),
 'sadness', (0.0002368)",anger
2,d,noi non li possiamo fare. ,"Negative: 0.8359045%,
Neutral: 0.1610382%,
Positive: 0.0030573%",NEGATIVE,"'anger', (0.0121984),
 'fear', (0.0004327),
 'joy', (0.0003872),
 'sadness', (0.9869817)",sadness
2,d,io sono andato. angioletto mi ha chiamato e mi ha detto che aveva avuto una discussione con te. (litigato). ,"Negative: 0.5678130%,
Neutral: 0.4257190%,
Positive: 0.0064680%",NEGATIVE,"'anger', (0.0005653),
 'fear', (0.0011532),
 'joy', (0.0004871),
 'sadness', (0.9977945)",sadness
2,p,no. io lo voglio sapere da te era una cosa giusta?,"Negative: 0.0028767%,
Neutral: 0.3530541%,
Positive: 0.6440693%",POSITIVE,"'anger', (0.0000937),
 'fear', (0.0002471),
 'joy', (0.9991899),
 'sadness', (0.0004693)",joy
2,d,"secondo poi se ci. 100 mila lire , io poi non me la potevo prendere io. me la mangiavo io in mezzo alla via. invece quella invece di dire “durante, prendeteli voi, se ci sta la giocata. questa 100 mila lire” ","Negative: 0.5925005%,
Neutral: 0.4059958%,
Positive: 0.0015038%",NEGATIVE,"'anger', (0.9993066),
 'fear', (0.0002054),
 'joy', (0.0001138),
 'sadness', (0.0003743)",anger
2,d,"hai capito, questo è il motivo. poi non ci sta nessun altro motivo più. ","Negative: 0.5163070%,
Neutral: 0.4521412%,
Positive: 0.0315518%",NEGATIVE,"'anger', (0.0009366),
 'fear', (0.0002827),
 'joy', (0.9735224),
 'sadness', (0.0252583)",joy
2,d,"peppe ma secondo te, la giocata nostra. che come minimo io acchiappavo la cento mila lire. il milione di lire. per dire, e scusa purtroppo quello così disse e così. hanno fatto. due volte pigliai 600 euro laggiù e glieli portai. lei non disse nemmeno questo è 100 euro. dopo venne e disse “durante iom poi non lo sapevo pure ndò ndò. mi ha richiamato io mi sono presa tutti i 600 euro non ti ho dato nemmeno un 100 euro”. hai capito?","Negative: 0.9882331%,
Neutral: 0.0115499%,
Positive: 0.0002169%",NEGATIVE,"'anger', (0.9993368),
 'fear', (0.0002908),
 'joy', (0.0001473),
 'sadness', (0.0002252)",anger
2,d,"palmina. io gli dissi, va bene se ci sarà qualche altra occasione. ","Negative: 0.0008060%,
Neutral: 0.4924237%,
Positive: 0.5067703%",POSITIVE,"'anger', (0.0000874),
 'fear', (0.0001703),
 'joy', (0.9989845),
 'sadness', (0.0007578)",joy
3,d,io capii che allora venne. l’altro giorno. prendemmo la macchinetta e la mettemmo sotto. no. non c’è non pigliava quello. io non c’è,"Negative: 0.9796713%,
Neutral: 0.0195400%,
Positive: 0.0007886%",NEGATIVE,"'anger', (0.0012465),
 'fear', (0.0043549),
 'joy', (0.0008079),
 'sadness', (0.9935907)",sadness
3,p,e lui nemmeno questo. non lo vedono. si addormentò e non lo sapeva. lui si è addormentato. ,"Negative: 0.8909131%,
Neutral: 0.1069632%,
Positive: 0.0021236%",NEGATIVE,"'anger', (0.0006371),
 'fear', (0.0008120),
 'joy', (0.0003632),
 'sadness', (0.9981877)",sadness
3,p,eh rimasta qua. l’hanno pigliato. io sono andata sopra e sono scesa. e non questo è il sono andata sopra. dice questo,"Negative: 0.9299964%,
Neutral: 0.0689003%,
Positive: 0.0011032%",NEGATIVE,"'anger', (0.0003195),
 'fear', (0.0017078),
 'joy', (0.0007452),
 'sadness', (0.9972274)",sadness
3,p,il guaio e che giù. ,"Negative: 0.8965097%,
Neutral: 0.0997169%,
Positive: 0.0037734%",NEGATIVE,"'anger', (0.0006750),
 'fear', (0.0004434),
 'joy', (0.0003837),
 'sadness', (0.9984980)",sadness
3,g,io ce l’avrei fatta l’imbasciata. ,"Negative: 0.0065516%,
Neutral: 0.3292654%,
Positive: 0.6641830%",POSITIVE,"'anger', (0.0016201),
 'fear', (0.0004654),
 'joy', (0.0003967),
 'sadness', (0.9975177)",sadness
4,d,questo non è. ,"Negative: 0.9774510%,
Neutral: 0.0219899%,
Positive: 0.0005590%",NEGATIVE,"'anger', (0.0015029),
 'fear', (0.0003537),
 'joy', (0.0004010),
 'sadness', (0.9977424)",sadness
4,d,mo il problema che mo. gli arresti domiciliari non li prende più. hai capito. moglie li danno. ,"Negative: 0.9282293%,
Neutral: 0.0706896%,
Positive: 0.0010810%",NEGATIVE,"'anger', (0.9993904),
 'fear', (0.0001630),
 'joy', (0.0001371),
 'sadness', (0.0003095)",anger
4,p,insomma ma veramente pazzo. chi se lo aspetta. facevano un arresto. ,"Negative: 0.5635989%,
Neutral: 0.4327153%,
Positive: 0.0036858%",NEGATIVE,"'anger', (0.9993756),
 'fear', (0.0001989),
 'joy', (0.0001707),
 'sadness', (0.0002549)",anger
5,d,ha detto così. “ che non tiene nessun buono. il buono. non tiene nessun buono. ”. ha detto. - ” il buono non ci sta. ci sta. un errore. ”. ,"Negative: 0.9929877%,
Neutral: 0.0068047%,
Positive: 0.0002077%",NEGATIVE,"'anger', (0.9923723),
 'fear', (0.0008844),
 'joy', (0.0000673),
 'sadness', (0.0066760)",anger
5,p,quello me lo hanno fatto vedere quei disgraziati sul comune. ,"Negative: 0.7512121%,
Neutral: 0.2225964%,
Positive: 0.0261916%",NEGATIVE,"'anger', (0.9988157),
 'fear', (0.0001548),
 'joy', (0.0001060),
 'sadness', (0.0009237)",anger
5,d,e ma. carminiello e coso. tiene il buono. però senza copertura finanziaria. perché i soldi non ci stavano. se la buon’anima di fiore (graziano fiore)a me. e chiamai la sorella di giammaria. disse - “ qua tutto a posto. le carte hanno iniziato. e sono i soldi che fece i lavori la sopra. ” tramite salvatore”. che non si è consigliato niente in faccia alla mammaassunta (santaniello assunta madre di graziano felice alias chiò - chiò)non stava in faccia (intestato). a santaniello assunta. vicino. a santaniello assunta. e francofranco. voi. il proprietario compare raffaele (cava raffaele padre di antonio)come esce in mezzo. ,"Negative: 0.0024965%,
Neutral: 0.0362240%,
Positive: 0.9612795%",POSITIVE,"'anger', (0.9982796),
 'fear', (0.0002931),
 'joy', (0.0000762),
 'sadness', (0.0013510)",anger
5,d,che fine ha fatto. l’hanno tolto da mezzo?l’hanno fatto scomparire. la sopra!!io vorrei vedere la pratica. che deve pigliare lo stupido. (si riferisce a graziano felice). devo vedere se mi fanno la fotocopia del buono. che gli mandarono. quello i carabinieri. ha detto lui vicino a lui. che gli volevano fare qua. a compare raffaele. i carabinieri. (si accavallano le voci). abbiamo fatto nessuna discussione. ,"Negative: 0.8555199%,
Neutral: 0.1422045%,
Positive: 0.0022756%",NEGATIVE,"'anger', (0.9992943),
 'fear', (0.0001997),
 'joy', (0.0000968),
 'sadness', (0.0004091)",anger
5,d,ha fatto una stronzata. ,"Negative: 0.9964874%,
Neutral: 0.0033424%,
Positive: 0.0001702%",NEGATIVE,"'anger', (0.9993960),
 'fear', (0.0001770),
 'joy', (0.0001485),
 'sadness', (0.0002785)",anger
5,d,palmina. se è la carta gliel’ha mandata. effettivamente io lo posso giurare. la carta gliel’ha mandata e la buon’anima di fiore (graziano fiore). ha fatto quello. donnarumma le carte dei soldi che aveva speso. hai visto come sono arrivati. i soldi. il contributo. perché e prima quella là. la fascia rossa non c’entra niente. ,"Negative: 0.0012421%,
Neutral: 0.1190359%,
Positive: 0.8797221%",POSITIVE,"'anger', (0.9784078),
 'fear', (0.0003432),
 'joy', (0.0008367),
 'sadness', (0.0204122)",anger
5,d,la fascia rossa. non c’entra proprio niente. ,"Negative: 0.9832153%,
Neutral: 0.0162781%,
Positive: 0.0005067%",NEGATIVE,"'anger', (0.9623677),
 'fear', (0.0003206),
 'joy', (0.0007942),
 'sadness', (0.0365174)",anger
5,d,no. io non voglio mettere. però la pratica. non ci sta più la buon’anima di fiore che fece l’autorizzazione perché. mo quelle carte per chi le hanno fatte??,"Negative: 0.8431265%,
Neutral: 0.1545965%,
Positive: 0.0022770%",NEGATIVE,"'anger', (0.9993538),
 'fear', (0.0001711),
 'joy', (0.0001161),
 'sadness', (0.0003591)",anger
5,p,non sono fatti tuoi. non sono tuoi. la domanda sta in faccia a tuo suocero. mio suocera. l’unica cosa e che li può pigliare luinon sono fatti suoi. ,"Negative: 0.8132757%,
Neutral: 0.1837099%,
Positive: 0.0030144%",NEGATIVE,"'anger', (0.9994172),
 'fear', (0.0001795),
 'joy', (0.0001542),
 'sadness', (0.0002490)",anger
7,a,però per venire 6/7 volte qua. (casa). qualcosa torno. torno. qua. ci deve stare. una cosa ci deve stare perché è impossibile. in una casa. dicono che le microspie scaricano la corrente. ma chi lo sa se è vero o no. che è. la microspia. altrimenti qualcosa è dic (dice/avverte)qualcosa che si sente che precisamente. ogni volta sanno quando arriva. ,"Negative: 0.9592634%,
Neutral: 0.0402495%,
Positive: 0.0004872%",NEGATIVE,"'anger', (0.0005793),
 'fear', (0.0016996),
 'joy', (0.0003215),
 'sadness', (0.9973996)",sadness
7,d,ci sono i microfoni direzionali. ci sono per esempio. i microfoni direzionali non c’è niente da fare. i microfoni direzionali. non può fare niente nessuno e niente. (si accavallano le voci)sopra santa tirola. li può mettere su casa mia,"Negative: 0.6531799%,
Neutral: 0.3444236%,
Positive: 0.0023965%",NEGATIVE,"'anger', (0.9991407),
 'fear', (0.0002093),
 'joy', (0.0000914),
 'sadness', (0.0005585)",anger
7,d,si è il microfono direzionale. quello è. loro vanno a colpo sicuro. ,"Negative: 0.0013565%,
Neutral: 0.2339290%,
Positive: 0.7647145%",POSITIVE,"'anger', (0.0001432),
 'fear', (0.0002402),
 'joy', (0.9993999),
 'sadness', (0.0002167)",joy
7,p,e non si fa capace. e non se ne voleva andare. questa casa me l’hanno perquisita. l’altro giorno l’armadio. ma tutto spostato. dopo che hanno spostato tutto. di tutto. ,"Negative: 0.9783787%,
Neutral: 0.0211851%,
Positive: 0.0004362%",NEGATIVE,"'anger', (0.9974124),
 'fear', (0.0011913),
 'joy', (0.0002721),
 'sadness', (0.0011242)",anger
9,f,madonna metto. ,"Negative: 0.0028267%,
Neutral: 0.2001548%,
Positive: 0.7970185%",POSITIVE,"'anger', (0.0001805),
 'fear', (0.0002007),
 'joy', (0.9993765),
 'sadness', (0.0002423)",joy
10,u,si ma adesso. non era proprio il momento adesso. dopo la discussione del compare (cava raffaele). sul comune. qua non si doveva fermare proprio. eheè. ,"Negative: 0.6557563%,
Neutral: 0.3387532%,
Positive: 0.0054905%",NEGATIVE,"'anger', (0.0004187),
 'fear', (0.0003953),
 'joy', (0.0009838),
 'sadness', (0.9982022)",sadness
10,f,terra bruciata. polizia e carabinieri. per qua. tutta la giornata fuori la via. ,"Negative: 0.7515468%,
Neutral: 0.2464292%,
Positive: 0.0020240%",NEGATIVE,"'anger', (0.9847667),
 'fear', (0.0003303),
 'joy', (0.0001613),
 'sadness', (0.0147416)",anger
10,f,se avesse trovato ad antonio. probabilmente si sarebbe fermato là. e non veniva qua. ,"Negative: 0.8358666%,
Neutral: 0.1624769%,
Positive: 0.0016564%",NEGATIVE,"'anger', (0.0014299),
 'fear', (0.0005298),
 'joy', (0.0002653),
 'sadness', (0.9977749)",sadness
10,u,a me quello ancora deve arrivare. ,"Negative: 0.0020961%,
Neutral: 0.2963938%,
Positive: 0.7015101%",POSITIVE,"'anger', (0.0038400),
 'fear', (0.0001510),
 'joy', (0.9879960),
 'sadness', (0.0080129)",joy
10,p,sono andata là. non l’ho trovato. ho detto questo. roba 10 - 15 minuti,"Negative: 0.9393276%,
Neutral: 0.0599329%,
Positive: 0.0007395%",NEGATIVE,"'anger', (0.0006836),
 'fear', (0.0009886),
 'joy', (0.0003689),
 'sadness', (0.9979589)",sadness
10,a,ci sono tanti posti dove si può fermare da nessuna parte niente. ,"Negative: 0.0103683%,
Neutral: 0.1419794%,
Positive: 0.8476523%",POSITIVE,"'anger', (0.0001491),
 'fear', (0.0001351),
 'joy', (0.9982491),
 'sadness', (0.0014668)",joy
11,palma,che cretinatastai zitta ! ,"Negative: 0.9432672%,
Neutral: 0.0474481%,
Positive: 0.0092847%",NEGATIVE,"'anger', (0.9993914),
 'fear', (0.0001742),
 'joy', (0.0001427),
 'sadness', (0.0002917)",anger
11,uomo,stai zitta. ,"Negative: 0.9582205%,
Neutral: 0.0406366%,
Positive: 0.0011428%",NEGATIVE,"'anger', (0.2620435),
 'fear', (0.0013780),
 'joy', (0.0004375),
 'sadness', (0.7361410)",sadness
11,uomo,uhàil momento buono. ,"Negative: 0.0014211%,
Neutral: 0.0789788%,
Positive: 0.9196002%",POSITIVE,"'anger', (0.0001658),
 'fear', (0.0001724),
 'joy', (0.9994088),
 'sadness', (0.0002529)",joy
11,palma,sbattono. buttanoentrano dentro. manco a bussare. che vuoi bussarescassano direttamente. leggemagari qua bussano. ,"Negative: 0.7855578%,
Neutral: 0.2112934%,
Positive: 0.0031488%",NEGATIVE,"'anger', (0.9992880),
 'fear', (0.0003705),
 'joy', (0.0001518),
 'sadness', (0.0001898)",anger
11,antonio,ma io lo sai che sto pensando. ho saputo il fatto del giardino mio. che li videro dietro casa miaallora come dici tusparava nel muro (ridono e si accavallano le voci). perché nuccio. disse là. nuccio. io allora dissi - “ ma cosa credi. vedi che il polacco. il coso. quello fino alla sera siamo stati zitti”“ ma cos’è il polacco?”e mi chiamai il polacco. quello del barone. disse che la mattina alle cinqueappena fatto giorno. il polacco se ne va subito. a fare i servizi nel giardino. ed ha visto. “. tu cosa fai?”. gli dissero. fermarono il polacco. disse il polacco i lavoro qua. e dissero. nonoi stiamo vedendo. perché ci hanno chiamato i proprietari di casa. che hanno visto un ladro che scappava da una parte all’altra. il polacco si pensava che era così. poi il polacco chiese - “ signore. ma sono venuti i ladri?”. dissi. ma quale rubare. ” ci stava la polizia. ”. ma allora dietro il muro hanno potuto sparare (installare una microspia). pure vicino al muro. come stanno le cose. quelli sentono a 30 metri. 20 metritrapanoche quelli hanno sparato (installato microspia). là per vedere se parli. non è quello. però sempre pericoloso. è!!,"Negative: 0.0024043%,
Neutral: 0.2799594%,
Positive: 0.7176362%",POSITIVE,"'anger', (0.0017290),
 'fear', (0.9966672),
 'joy', (0.0006894),
 'sadness', (0.0009144)",fear
11,antonio,questo mi è successo due. tre mesi fa. (si accavallano le voci). è successo. perché teniamo un difetto tutti quanti. che per esempio. da me perché è successo questo. perché. due. tre. quattro mesi. centinaia di persone. è normale. che si viene a sapere. non vogliono fare,"Negative: 0.9725870%,
Neutral: 0.0259848%,
Positive: 0.0014281%",NEGATIVE,"'anger', (0.0006418),
 'fear', (0.2240002),
 'joy', (0.0013832),
 'sadness', (0.7739749)",sadness
11,durante,perché tiene un’altra cosa. quello tiene tutto. si può fermare dove vuole luihai capito molui è più “ sfaccimmo” (scaltro)  ,"Negative: 0.0016629%,
Neutral: 0.0608273%,
Positive: 0.9375098%",POSITIVE,"'anger', (0.0004482),
 'fear', (0.0002143),
 'joy', (0.9886053),
 'sadness', (0.0107321)",joy
11,fiorenza,antonioha vergogna. ,"Negative: 0.9957669%,
Neutral: 0.0040465%,
Positive: 0.0001866%",NEGATIVE,"'anger', (0.9986128),
 'fear', (0.0001396),
 'joy', (0.0001954),
 'sadness', (0.0010522)",anger
11,palma,lo dice. però non ci va,"Negative: 0.6688896%,
Neutral: 0.3296604%,
Positive: 0.0014499%",NEGATIVE,"'anger', (0.9990128),
 'fear', (0.0001776),
 'joy', (0.0001016),
 'sadness', (0.0007080)",anger
11,antonio,nessunoscusa. ma cosa ci vuole e ti fermi da me e ti accompagno. qual è il problema di fare tutto questo bordello. ,"Negative: 0.8306115%,
Neutral: 0.1556915%,
Positive: 0.0136970%",NEGATIVE,"'anger', (0.0059729),
 'fear', (0.0006774),
 'joy', (0.0002260),
 'sadness', (0.9931237)",sadness
11,antonio,e quello. pure mia figlia maria. lo diceva. anima della madonna. magari. pure per lo sfizio di fermarti. una volta. ma come cazzo è così. ,"Negative: 0.9040189%,
Neutral: 0.0768127%,
Positive: 0.0191683%",NEGATIVE,"'anger', (0.9992693),
 'fear', (0.0001302),
 'joy', (0.0001582),
 'sadness', (0.0004423)",anger
11,palma,se si ferma in una casa e riesce a prendere confidenza. ,"Negative: 0.0012368%,
Neutral: 0.4345723%,
Positive: 0.5641909%",POSITIVE,"'anger', (0.0000893),
 'fear', (0.0003367),
 'joy', (0.9955051),
 'sadness', (0.0040689)",joy
11,palma,niente. non ci va. se riesce ad ambientarsi. in una famigliaahaè. si deve sentire a suo agio. ,"Negative: 0.4553966%,
Neutral: 0.1732136%,
Positive: 0.3713899%",NEGATIVE,"'anger', (0.0005262),
 'fear', (0.0005583),
 'joy', (0.0003626),
 'sadness', (0.9985529)",sadness
11,durante,invece“quello la”. (cava biagio). se si vede in difficoltà. dove cazzo è. è. si butta dentro. si butta dentro senza pensarci. ,"Negative: 0.9895545%,
Neutral: 0.0097327%,
Positive: 0.0007128%",NEGATIVE,"'anger', (0.8987228),
 'fear', (0.0010019),
 'joy', (0.0001831),
 'sadness', (0.1000922)",anger
11,antonio,tiene la faccia delle puttane. fiorenza. quando ti devi buttare. quello. questo. ne ha fatto unaforza. quello ha una forza. non la fai la faccia tosta. tiene la faccia tosta come le puttane. questo avvocato lo hai chiamato??(palma deve effettuare una telefonata all’avvocato)ma io dico sempre. che quando vuoi stare bello tranquillo. te ne devi andar per le terre. ,"Negative: 0.0281628%,
Neutral: 0.2913993%,
Positive: 0.6804379%",POSITIVE,"'anger', (0.9994222),
 'fear', (0.0001705),
 'joy', (0.0001729),
 'sadness', (0.0002345)",anger
11,antonio,ma se tu l’hai accompagnato la sera. e alle due di notte. stava qua. scusa. che io dissi - “ non dite stronzate. che quello se n’è andato. non poteva venire. (si accavallano le voci). ,"Negative: 0.9540074%,
Neutral: 0.0449062%,
Positive: 0.0010864%",NEGATIVE,"'anger', (0.0005938),
 'fear', (0.0005283),
 'joy', (0.0003331),
 'sadness', (0.9985448)",sadness
11,uomo,esce adriano e compagnia bella  ,"Negative: 0.0000884%,
Neutral: 0.0045309%,
Positive: 0.9953808%",POSITIVE,"'anger', (0.0001329),
 'fear', (0.0002080),
 'joy', (0.9994068),
 'sadness', (0.0002523)",joy
11,fiorenza,questo si!!,"Negative: 0.0003385%,
Neutral: 0.0053023%,
Positive: 0.9943592%",POSITIVE,"'anger', (0.0001945),
 'fear', (0.0003144),
 'joy', (0.9992570),
 'sadness', (0.0002341)",joy
11,fiorenza,la tengono la “ carabina”. la tengono ancora. ,"Negative: 0.0015734%,
Neutral: 0.2259844%,
Positive: 0.7724422%",POSITIVE,"'anger', (0.0001401),
 'fear', (0.0004894),
 'joy', (0.9853508),
 'sadness', (0.0140197)",joy
11,fiorenza,te lo dico io!!la tengono ancora!!,"Negative: 0.0003091%,
Neutral: 0.0046297%,
Positive: 0.9950612%",POSITIVE,"'anger', (0.9994060),
 'fear', (0.0002158),
 'joy', (0.0001235),
 'sadness', (0.0002546)",anger
11,fiorenza,tengono ancora gli amici. questo è come dico io!! la terra bruciata. ne dovevano morire ancora una ventina. per tenere la terra bruciata intornoallora si!!,"Negative: 0.8446421%,
Neutral: 0.1505793%,
Positive: 0.0047786%",NEGATIVE,"'anger', (0.9992915),
 'fear', (0.0002589),
 'joy', (0.0000833),
 'sadness', (0.0003662)",anger
11,durante,la terra bruciata. ,"Negative: 0.9541063%,
Neutral: 0.0454811%,
Positive: 0.0004125%",NEGATIVE,"'anger', (0.0884565),
 'fear', (0.0006347),
 'joy', (0.0004913),
 'sadness', (0.9104175)",sadness
11,fiorenza,eheè. lo diciamo noi. io non lo penso. che cazzo ne voglio fare. io!!,"Negative: 0.9780264%,
Neutral: 0.0170122%,
Positive: 0.0049614%",NEGATIVE,"'anger', (0.9994036),
 'fear', (0.0001770),
 'joy', (0.0001237),
 'sadness', (0.0002957)",anger
11,fiorenza,non è che quello viene faccia a faccia. quando si sono messi una cosa in testa. ci capita uno per sotto che non c’entra niente (si riferisce agli appartenenti del clan graziano) ,"Negative: 0.8152859%,
Neutral: 0.1834842%,
Positive: 0.0012299%",NEGATIVE,"'anger', (0.9980089),
 'fear', (0.0005006),
 'joy', (0.0001020),
 'sadness', (0.0013886)",anger
11,durante,ma tu non lo puoi. uscire più. ,"Negative: 0.8814296%,
Neutral: 0.1109527%,
Positive: 0.0076177%",NEGATIVE,"'anger', (0.0008801),
 'fear', (0.0004366),
 'joy', (0.0003340),
 'sadness', (0.9983493)",sadness
11,antonio,non ti puoi più mettere in macchina e te ne vai. ,"Negative: 0.0130205%,
Neutral: 0.2164145%,
Positive: 0.7705650%",POSITIVE,"'anger', (0.0007339),
 'fear', (0.0005527),
 'joy', (0.0002976),
 'sadness', (0.9984157)",sadness
11,palma,no ho mandato già a vedere a nola. (si riferisce al legale). no il numero ci sta sulla segreteria. ma non piglia. (la donna spiega al proprio figlio raffaele la strada per andare a casa di antonio,"Negative: 0.9218934%,
Neutral: 0.0772454%,
Positive: 0.0008613%",NEGATIVE,"'anger', (0.9990723),
 'fear', (0.0003414),
 'joy', (0.0000869),
 'sadness', (0.0004996)",anger
