tweet_text,sentiment
@sscnapoli @D_Ospina1 Benvenuto in questa societÃ  ridicola. Mai mi sarei sognato di dire una cosa simile fino all'altro ieri. Vendere Inglese per poi non comprare un'altra punta Ã¨ ridicolo!,negative
Ma che cazzo te salti coglione @Florenzi,negative
@Cristiano @PestanaCR7 Sono povera solo a guardare la foto,negative
"@Dli_22 @Ngoppejammeja @OfficialRadja Affatto. @OfficialRadja Ã¨ un romanista doc, solo un cretino dell'Inter poteva travisare quanto ho scritto.",negative
"@icarus2004 @ilmochi @GiovanniCarli8 @robertoCR82 @GiuxInter @OfficialRadja anche Roma Ã¨ piccola solo (per esempio e per farti capire la diversa mentalitÃ ) non stiamo a guardare quanti soldi guadagni se fai bisboccia, ma solo se Ã¨ il caso o no. Che tu sia portiere dÂalbergo o dellÂInter non fa differenza e forse Ã¨ questo che manca a Nainggolan.",negative
@RollingStoneita @Cristiano @juventusfc LÂItalia migliore? Ecco dopo aver letto lÂennesima stronzata posso ufficialmente mandarvi a cagare.,negative
"@MonsieurSalif @KeitaBalde Ã stata una vergogna, ma sbagli a pensare che interista sia sinonimo di razzista. Il razzismo Ã¨ una spregevole forma di odio alimentata dall'ignoranza, un flagello presente in ogni societÃ  che ha una sola cura: la conoscenza. 

Sostengo ogni giocatore che lotta per la maglia ??",negative
"@giuli_valle @Chiariello_CS @kkoulibaly26 @MrAncelotti Ã un alibi che non sta in piedi.
Noto con dispiacere che  per forzare la difesa di societÃ  e tecnico si stia strumentalizzando un argomento che non ha nulla a che vedere con la sensibilitÃ  di un professionista milionario.

Il Napoli ha giocato male e KK ha fatto una cazzata. Stop",negative
@Bernd_Leno Vieni a #Napoli che ti passa la delusione.. Mentre ci sei porta pure #SanÃ©..,negative
"es una pena que te vayas a la JuBe @Cristiano 
Anche questÂanno Ã¨ volata via
La vedi solo in fotografia
PerchÃ© in Europa sei un pupazzo 
Gobbo di merda attaccati a sto cazzo!
https://t.co/bZHQ7rT5Us",negative
"@OfficialRadja RIFIUTA CAZZO RIFIUTA, L'HAI SEMPRE DETTO CHE A MILANO NON C'Ã IL SOLE,",negative
"@HamshoriFierak @EzioGreggio @juventusfc @Cristiano @TorinoFC_1906 Ripeto 3489948579,quando vuoi,dove vuoi e come vuoi scimmia! E ti ripeto non rispondere se non con il tuo recapito,altrimenti ti vengo a cercare e ti do fuoco!Ti sto avvisando! Ultima volta 3489948579 aspetto un tuo messaggio",negative
@OfficialASRoma ma perchÃ© avete dovuto vendere @OfficialRadja ma andate a fanculo bastardi pezzi di merda proprio il ninja no ma cosa credete che la squadra ha solo bisogno di calciatori???? LA SQUADRA HA BISOGNO DI UOMINI!UOMINI COME LUI CHE LOTTANO!,negative
"@ondameme @FarinaAntonello @kkoulibaly26 Non e' un grande gesto, avrei preferito non dover scrivere queste cose.
E' nel DNA dell'Inter essere fratelli del mondo, e queste cose fanno semplicemente schifo.",negative
@CarloDiStefano8 @annatrieste @PReina25 Ma taci idiota.. che voi a doping nn state messi male exa frequentazioni mafiose neanche.. coglione!!,negative
Vi Ã¨ mai capitato di provare antipatia per una persona pur non conoscendola semplicemente perchÃ© parenti e amici ne esaltavano le doti in maniera eccessiva? A me con lÂincolpevole @MarioMandzukic9 ma in questo caso i congiunti sono tutti i giornalisti e @SkySport in particolare,negative
"@antocarboni91 @joaome17 @Ale_Scofield L'unico grosso difetto Ã¨ che perde troppi costanti, Ã¨ troppo leggero fisicamente.",negative
@SergioRamos @MoSalah Lei Ã¨ un meschino simulatore...lo hai fatto apposta le immagini sono inequivocaboli...vergognati merda,negative
@OfficialASRoma @sscnapoli @kkoulibaly26 Bravi ma pure i vostri tifosi sono razzisti! Lote,negative
"@_RP10_ @juventusfc @Cristiano Esatto...la squadra ha moltissima qualitÃ  ma non la esprime per niente, il gioco Ã© spesso noioso e non produce granchÃ©",negative
@oniLino @NPAFNSIN @PReina25 Nessun astio ...solo contro una falsa morale quando il presidente si lamento' di alcune frequentazioni girava voce del perchÃ© nn volesse ..potevano essere solo voci e poi gli arresti la procura etc etc...tutt brava gente e noi saremmo gli ipocriti?!!,negative
"@bonucci_leo19 Ma quanto cazzo sei leccaculo? Che uomo ridicolo,lecchi il luco a chi ha augurato la morte dei tui figli,che schifo",negative
@realvarriale @dries_mertens14 @PauDybala_JR @G_Higuain Non conosce la parola dignitÃ . Cade sempre piÃ¹ in basso. Peggio dell'acqua stagnate. Che cattivo odore. Deve stare proprio male. Povero,negative
@suso30oficial e 3 anni che ti odio,negative
@OfficialRadja appena indosserai la maglia nerazzurra inizieranno tutti a insultarti e a parlare male di te nel privato e dentro il rettangolo di gioco. Questa maglia va indossata con la corazza non te lo scordare solo cosÃ¬ potrai uscirne indenne. Forza fenomeno.,negative
@nicolabertoni @salpaladino @douglascosta Quindi non hai visto le partite dato che dopo il fattaccio Ã¨ certamente fuori forma. Si vede non Ã¨ piÃ¹ lo stesso. Al momento no,negative
@TorinoFC_1906 @DarmianOfficial @FQuagliarella27 Non Ã¨ piacevole vivere di ricordi.,negative
"@douglascosta per come avete ""vinto"" dovreste aver la decenza,non dico di non festeggiare sarebbe troppo per voi,quanto meno non scimmiottare chi ha dimostrato di meritare lo scudetto(dandovi lezione di calcio a domicilio).Potrei capire un tifoso,ma un tesserato proprio no ?",negative
"@cavdLeodeAraujo @RossoneroCinico @LucaSciarini @Rossonerosemper @hakanc10 @acmilan @DieRotenBullen @Bundesliga_DE @SerieA_TIM Guarda io sono a San Siro tutte le domeniche, ha del potenziale ma non possiamo permetterci di aspettarlo. Ã semplicemente imbarazzante. Come giocare in 10. Nel calcio non basta la buona tecnica. In 19 mesi ne ha giocato bene 2. Ã il simbolo della nostra discontinuitÃ .",negative
@Inter @MauroIcardi Che schifo che schifo squadra senza palle veramente penosi!!vergogna vergogna mandare via a calci in culo l'allenatore!!,negative
@LuciaMRiggi @SamiKhedira nn mi piace parlare male dei nostri ma oggi Ã¨ stato penoso,negative
@kkoulibaly26 La tua espulsione col razzismo non c'entra nulla. Non banalizzare il razzismo per una stupida partita di pallone.,negative
"@Lo_statistico @nglkante Si ma che abbia anche un piede migliore, noi abbiamo anche il problema della costruzione dell'azione

Matuidi perde ogni volta due tempi di gioco per stopparla e passarla. Il solo Pjanic non basta",negative
"Vorrei ricordare la faccia di #Marchetti e @MarioGiunta che fino a mercoledÃ¬ scorso alle ore 19:00 stavano prendendo per il culo #Marotta e la @juventusfc, dicendo che la societÃ  non aveva i soldi per acquistare @Cristiano! Ora chissÃ  se hanno smesso di ridere!",negative
"@realvarriale @dries_mertens14 @PauDybala_JR @G_Higuain A me ha deluso piu Milik che sembrava essersi ripreso nel finale di campionato. Resto ancora in dubbio sulle sue qualitÃ  quindi.
Del Belgio a me non piacciono Hazard e De Bruyne. Il primo troppo innamorato del pallone e il secondo poco incisivo, meglio Zielinski",negative
"Ora con la Francia sarÃ  difficilissimo ma per rendere le cose un pochino meno complicate si potrebbe provare a non far piÃ¹ mettere piede in campo a Di Maria, Enzo Perez e Meza. 

Che ne dite @Mascherano e @SampaoliOficial (o chi cazzo decide la formazione)?",negative
@Ruggero1991 @kkoulibaly26 Sta stronzata potevi evitarla. Sono almeno 30 anni che negli stadi ci sono questi episodi.,negative
@bonucci_leo19 Non vedo come uno come te possa dare lezioni di vita. IMBARAZZANTE,negative
"@gianluigibuffon @PSG_inside @PSG_English Posso dire, da juventina e tua sostenitrice,, che il tuo comportamento dopo lÂaddio mi ha deluso? Sei allÂestero, qualche messaggio dÂaffetto verso squadra e compagni potevi mandarlo. @ClaMarchisio8 lo fa continuamente e nessuno allo Zenit si offende. Mah!",negative
"@kkoulibaly26 
Caro Koulibaly,
vorrei solo esprimere il mio pensiero in merito ai fatti di Milano in merito agli sfottÃ² di qualche Idiota e per i quali non riesco proprio a capire come tu possa, da Professionista e Privilegiato, essere destabilizzato!!!
Il Razzismo Ã¨ Altro!!!",negative
@OfficialRadja mi dispiace veramente che tu non possa vivere questa competizione la tua nazionale resta la @asroma daje !! https://t.co/mzCr5mWQUm,negative
"@kkoulibaly26 Caro KK26, capisco la tua rabbia ma tutta questa collera andava riversata non verso lÂarbitro ma nella voglia di vincere. Purtroppo quel tuo gesto ci Ã¨ costato la partita e questo aimÃ¨ significa anche Âessere grandiÂ.",negative
@realvarriale @Cristiano Mi sa tanto di ipocrisia questo twetter... Quando attacchi la Juve sei piÃ¹ genuino e sincero.. Se accadono fatti spiacevoli negli e fuori dagli stadi in primis la colpa Ã¨ dei giornalisti faziosi e dai presidenti incapaci e aggiungo calciatori con poco intelletto.,negative
@ilmauro85 @OfficialASRoma @Alissonbecker Devi morire devi morire,negative
@realvarriale @Robi_Nai1 @arekmilik9 @LFC @sscnapoli La cosa peggiore Ã¨ che te sei ingrassato e mo arriva pure Natale....,negative
"@painstorm83 @Interista70s @VRudy93 @MarcoBarzaghi @Sport_Mediaset @joaome17 Lo aveva assicurato alle telecamere, in privato la societÃ  lo ha preso e certamente sperava di gestirlo, purtroppo non ci son riusciti",negative
"@realvarriale @gallobelotti Hai superato i livelli di ritardo di Pistocchi, sembrava impossibile invece ci sei riuscito",negative
@Stefandevrij Vergognati!,negative
@Libertatem_it @pomazzo @Gazzetta_it @OfficialRadja @AndreaDiCaro1 Che carattere di merda,negative
@FOXSportsIT @Cristiano Che tristezza il vostro ÂgiornalismoÂ. Il click non ve lo do neanche sotto tortura,negative
"@realvarriale @G_Higuain @sscnapoli @juventusfc Scarto indesiderato sarÃ  lei. Higuain dovrebbe querelarla x questa affermazione. Con #CR7 lui avrebbe poco spazio,lo sa, e, avendo offerte, si guarderÃ  attorno. La Juve non lo scarta, come dovrebbe, invece fare, la tv di stato con lei. Vergogna.",negative
@OfficialRadja @OfficialRadja NON ANDARE VIA...NON ANDARE VIA...NON ANDARE VIA...NON ANDARE VIA...NON ANDARE VIA...NON ANDARE VIA...NON ANDARE VIA...NON ANDARE VIA...NON ANDARE VIA...NON ANDARE VIA...NON ANDARE VIA...NON ANDARE VIA...NON ANDARE VIA...NON ANDARE VIA....RADJA RESTA,negative
"Il rigore su @neymarjr non c'era pet niente, giusta decisione della #VAR. Se era la @juventusfc, non solo era rigore, veniva espulso il difensore avversario, espulso l'allenatore avversario, uccisione del gatto del presidente avversario e pagamento di multa alla societÃ ",negative
@dries_mertens14 This is anfield! Ora hai capito cosa vuole dire clown,negative
"@MarcoVerce95 @paulpogba Per me sono scemi. Mi dispiacerebbe per Mattia, ma in giro ci sono difensori molto piÃ¹ forti di lui",negative
@paulpogba @Pirlo_official @paulpogba torna a casa... torna alla @juventusfc... il @ManUtd non fa per te,negative
@rolla_tappa @OfficialRadja Fa male sta cosa lÂavrei sempre voluto vicino,negative
@MauroIcardi @InNomeDellaJ ma pensa.... noi eravamo delusi anche  a gennaio tu no???? https://t.co/0HF0jjbcwc,negative
@Stico9 @majewsky2000 @kernelPESfan @arekmilik9 Infatti non Ã¨ ancora diventato RUBENTINO come quella LOTA TRADITORE che adesso volete svendere.,negative
"@I_AM_IM_ @Me_Medesima_ @ADeLaurentiis @PReina25 CiÃ² che dici non corrisponde al vero, anche perchÃ© se non erro Reina Ã¨ tornato dopo essersene andato ed Ã¨ rimasto per molti anni!Se ci fosse stato un presidente come Adl ai tempi di Diego, oggi avremmo piÃ¹ scudetti perchÃ© sicuramente lo metteva spalle al muro e non lo copriva",negative
@realvarriale Che delusione @PReina25 ...Si vince e si perde in 23!,negative
@fbernardeschi @juventusfc Visto che parli solo inglese te lo dirÃ² cosÃ¬. Go to take in the ass you and your fucking English. Mai vista una cosa cosÃ¬. Un calciatore italiano che non spiaccica una parola nella sua lingua. Vergognoso.,negative
@realvarriale @massimozampini @HKane @realvarriale non rispondere a quell'essere merdoso...lascialo vivere nella sua mediocritÃ  rubentina...squallido come la proprietÃ  della sua merdosa squadra di calcio (alias associazione a delinquere).,negative
@pavanmassimo @Cristiano @TUTTOJUVE_COM Ti brucia il culo perchÃ© preferiva il Napoli alla Juve....,negative
@ILavatoio @realwarriale @OfficialRadja @SandroSca @willy_signori @massimozampini Ã un fake! Simpatico ma Ã¨ un fake,negative
"@OfficialSSLazio @Acerbi_Fra Si fa ride, non ci si puÃ² attaccare al VAR. Zero idee davanti, tanti lanci lunghi a casaccio e dietro si soffre sempre.",negative
"@_schiaffino__ @hakanc10 @acmilan Sicuramente non sta facendo bene, ma prima di darlo per perso io lo voglio vedere giocare dietro le punte e non a fare il terzino. Poi posso dire che non Ã¨ da Milan. Togli Suso dalla fascia e otteniamo lo stesso risultato del turco, ovvero prestazioni non all'altezza.",negative
@vanda235 @Bassman8256 @juventusfc @Cristiano No panettone... comunque fammi rendere accessibile e poi ahimÃ¨ posterÃ² la foto...previa autorizzazione della moglie,negative
@TheTheDoctorWho @borriellomarco1 @ibizaud @Aubameyang7 non mi calcola... :(,negative
@marcocaputo78 @kkoulibaly26 @KPBofficial no li dar rettaa sti pezzi di merda,negative
@S_drughi2 X fortuna che @Cristiano era vecchio ecc ecc ecc. Ridicoli come i vari cazzari che ogni domenica parlano di violenza e razzismo poi twittano che oggi ci voleva il tso. Che si vergognino,negative
"@OfficialRadja  Dopo Totti , per me sei stato il simbolo di questa squadra. Un combattente in mezzo al campo e quasi sempre il trascinatore. Dopo l'addio di Totti, Ã¨ per me la delusione piÃ¹ grande. Grazie di tutto @OfficialRadja .
@leonsfdo @OfficialASRoma  Vergognatevi.",negative
"@Alevt86 @ilmauro85 @Alissonbecker Indubbiamente non Ã¨ stata la mossa del secolo, io lo avrei incatenato pur di non mandarlo all'inter. Ma la modalitÃ  con le quali Ã¨ stato sbolognato sono piuttosto sospette. Sui 5 punti di distacco direi che sono pochi vista la differenza che c'era in campo.",negative
"@kkoulibaly26 Mi dispiace. Sono interista e mi vergogno per quelle merde sugli spalti.
Sei un campione. Purtroppo questo Ã¨ il clima, oggi, in Italia. Mi dispiace.",negative
"@SergioRamos Due piccole info:
1. Su Cuadrado era rigore
2. Sei una merda umana https://t.co/9ETtJIwqYn",negative
"@asroma se veramente cederete @OfficialRadja da quel momento il mio amore per questa maglia smetterÃ  di esserci, chi ha dimostrato attaccamento alla maglia va tutelato non ceduto! #radjanunsetocca",negative
"Chi gode del dolore altrui, Ã¨ perchÃ© non ha niente di cui godere nella propria vita. Esistenze scialbe, menti povere, perdenti nel DNA.
Ps:@SergioRamos vi piscia in testa anche da sdraiato. #HalaMadrid. E ora gelatino alla facciazza vostra rosiconi.",negative
@Frances76546Fra @me_celia @kkoulibaly26 Le mie risposte sono: incompetenza nel governare e troppa furbizia nel generalizzare e strumentalizzare.,negative
@realvarriale @ECavaniOfficial Passa la Francia di pobba Â Enrico ... a non Ã¨ piÃ¹ di pobba Â!!!! A no !!! ?,negative
"@MauroIcardi avreste dovuto uscire tutti dal campo, per dimostrare vera solidarietÃ  a Koulibaly. Invece avete speculato sull'espulsione, vi interessavano solo i maledetti 3 punti...al diavolo il calcio!!",negative
@ncorrasco Ã assolutamente offensivo verso @soualihomeite. Grave che nemmeno @kkoulibaly26 abbia detto nulla sul silenzio verso il collega #MeitÃ©.,negative
