text,label,sentiment,dominant_sentiment
mi sento vuoto e aspetto nuovi segnali,sadness,"Negative: 0.3115655%,
Neutral: 0.6814055%,
Positive: 0.0070291%",NEUTRAL
Onestamente non mi sento scoraggiato oggi come al solito,optimism,"Negative: 0.0009204%,
Neutral: 0.0676663%,
Positive: 0.9314133%",POSITIVE
sento un brivido così doloroso solo se lo sento,joy,"Negative: 0.8460957%,
Neutral: 0.1286750%,
Positive: 0.0252294%",NEGATIVE
mi sento mmf e non posso prendermi la briga di combatterlo,sadness,"Negative: 0.9357127%,
Neutral: 0.0620337%,
Positive: 0.0022537%",NEGATIVE
non riesco a dormire accendo la musica se devo svegliarmi accendo la musica se mi sento cupo la musica viene in mio soccorso ogni volta che mi sento estatico le melodie sono al mio fianco se voglio incontrare il mio lato selvaggio saluta musica,joy,"Negative: 0.2418564%,
Neutral: 0.4209658%,
Positive: 0.3371779%",NEUTRAL
mi sento così scontento di questa decisione,sadness,"Negative: 0.9886841%,
Neutral: 0.0100858%,
Positive: 0.0012300%",NEGATIVE
"Lo so, è così difficile, soprattutto quando ritieni di aver subito un torto",sadness,"Negative: 0.9282039%,
Neutral: 0.0711682%,
Positive: 0.0006278%",NEGATIVE
vedo la luce delle stelle accarezzarti i capelli non sento più i teneri baci che eravamo soliti scambiarci chiudo gli occhi e chiaramente il mio cuore ricorda che mille addii non potrebbero mai spegnere la brace,sadness,"Negative: 0.0000991%,
Neutral: 0.0034577%,
Positive: 0.9964431%",POSITIVE
"Spero di aver sbagliato, ma non riesco a vedere la nazionale inglese raggiungere la doppia cifra la prossima stagione e, a meno che non investano nel resto della squadra per fornirgli un servizio, sento che saranno condannati",sadness,"Negative: 0.9539268%,
Neutral: 0.0433245%,
Positive: 0.0027486%",NEGATIVE
"potevo sentire l'odore del cloro, sentire i muscoli doloranti, vedere il mio allenatore corpulento e baffuto e i miei compagni di squadra in età prepuberale e sentire i fischi e le urla dei genitori sugli spalti",sadness,"Negative: 0.0015784%,
Neutral: 0.1365941%,
Positive: 0.8618275%",POSITIVE
Ho la sensazione che avrà molto più successo di me,optimism,"Negative: 0.0002972%,
Neutral: 0.0012969%,
Positive: 0.9984059%",POSITIVE
Adoro questa canzone e mi fa sempre sentire felice,joy,"Negative: 0.0003089%,
Neutral: 0.0009764%,
Positive: 0.9987148%",POSITIVE
"a tutti, questo sarà un post un po' breve perché al momento ho un raffreddore puzzolente e mi sento davvero di merda, ma ho già scritto un'altra pagina su",anger,"Negative: 0.2601047%,
Neutral: 0.5734044%,
Positive: 0.1664909%",NEUTRAL
provo un'attrazione speciale e una profonda ammirazione per i vigili del fuoco che guidarono la carica nelle torri mentre tutti gli altri correvano fuori,joy,"Negative: 0.0002479%,
Neutral: 0.0053131%,
Positive: 0.9944390%",POSITIVE
non mi sentivo accettato,sadness,"Negative: 0.6260936%,
Neutral: 0.3715340%,
Positive: 0.0023724%",NEGATIVE
a volte mi sento come un boscaiolo di latta senza cuore a volte come un leone codardo ma voglio davvero credere che esista un href http www,optimism,"Negative: 0.0080665%,
Neutral: 0.8036140%,
Positive: 0.1883195%",NEUTRAL
mi sento semplicemente scoraggiato perché il settore è enorme e ciò che mi rende speciale in un mare di belle ragazze,sadness,"Negative: 0.0098628%,
Neutral: 0.0038117%,
Positive: 0.9863256%",POSITIVE
"sono apparso nel suo ufficio con un'espressione impassibile sul viso, pronto a recidere i legami con quell'uomo mentre mi sentivo il cuore spezzato all'idea",sadness,"Negative: 0.0593002%,
Neutral: 0.9369544%,
Positive: 0.0037454%",NEUTRAL
"suppongo che un paio di giorni in cui non si sente così caldo siano meglio della pertosse, la visita è andata davvero bene",joy,"Negative: 0.0002256%,
Neutral: 0.0017288%,
Positive: 0.9980456%",POSITIVE
"mi mancano le nostre chiacchiere, le nostre coccole, i nostri baci e i sentimenti che puoi condividere solo con la persona amata",sadness,"Negative: 0.0024643%,
Neutral: 0.0133138%,
Positive: 0.9842219%",POSITIVE
mi sento energico ed entusiasta di vedere i miei risultati alla fine della settimana,joy,"Negative: 0.0001213%,
Neutral: 0.0014664%,
Positive: 0.9984123%",POSITIVE
mi vergogno così tanto che voglio arrendermi,sadness,"Negative: 0.9924555%,
Neutral: 0.0054199%,
Positive: 0.0021246%",NEGATIVE
mi sento perfetto con te su Facebook href http www,joy,"Negative: 0.0000984%,
Neutral: 0.0059351%,
Positive: 0.9939665%",POSITIVE
"Spero che tirerà fuori lui stesso la carta velina, ma ho la sensazione che per lui domenica sarà solo un altro giorno in cui essere carino e meraviglioso",joy,"Negative: 0.0002098%,
Neutral: 0.0029616%,
Positive: 0.9968286%",POSITIVE
Ritengo anche che sia un peccato che quasi tutti i lettori che incontreranno quell'uomo saranno afroamericani a differenza di me,sadness,"Negative: 0.4155455%,
Neutral: 0.5806510%,
Positive: 0.0038034%",NEUTRAL
sembro e mi sento infelice,sadness,"Negative: 0.9970137%,
Neutral: 0.0027619%,
Positive: 0.0002244%",NEGATIVE
Cerco di condividere ciò che preparo con molte persone perché amo le persone e voglio che si sentano amate,joy,"Negative: 0.0001108%,
Neutral: 0.0017405%,
Positive: 0.9981487%",POSITIVE
mi sento molto strano oggi,sadness,"Negative: 0.2663374%,
Neutral: 0.4609607%,
Positive: 0.2727018%",NEUTRAL
"Non ho soldi extra, sono sempre preoccupato e mi sento davvero patetico",sadness,"Negative: 0.9976109%,
Neutral: 0.0021813%,
Positive: 0.0002077%",NEGATIVE
"ho la sensazione che ciò sia dovuto al fatto che abbiamo deciso di scattare in modo più fotogiornalistico e completamente senza oggetti di scena, il che è uno dei miei preferiti",optimism,"Negative: 0.0040793%,
Neutral: 0.1245923%,
Positive: 0.8713284%",POSITIVE
Devo dire che per arrivare a questo punto in cui non provo altro che sentimenti amichevoli nei suoi confronti ci vuole molto tempo,optimism,"Negative: 0.9242505%,
Neutral: 0.0563684%,
Positive: 0.0193811%",NEGATIVE
"Penso che questo sia di per sé importante, il fatto che tutti noi abbiamo il nostro modo individuale di elaborare il lutto",sadness,"Negative: 0.0030452%,
Neutral: 0.4998523%,
Positive: 0.4971025%",NEUTRAL
Non posso fare a meno di sentirmi anche un po' irrequieto,sadness,"Negative: 0.5412763%,
Neutral: 0.1470906%,
Positive: 0.3116332%",NEGATIVE
"Ho molto da imparare, sento che le persone mi supportano",optimism,"Negative: 0.0001379%,
Neutral: 0.0102558%,
Positive: 0.9896063%",POSITIVE
mi sento in perfetta altezza o solo in altezza delle immagini dei fili,joy,"Negative: 0.0001695%,
Neutral: 0.0069682%,
Positive: 0.9928623%",POSITIVE
mi sento come se fossi una presenza sgradita ogni volta che lei è nei paraggi,disgust,"Negative: 0.2431273%,
Neutral: 0.6059842%,
Positive: 0.1508886%",NEUTRAL
"riesco davvero a decodificare ma mi dispiace, devo vomitare i miei sentimenti perché sono così irritabile e tutto mi dà sui nervi",sadness,"Negative: 0.9978552%,
Neutral: 0.0017026%,
Positive: 0.0004421%",NEGATIVE
Mi sento come se fossi stato punito e posso cambiare la situazione e non ho nulla di cui aver paura,fear,"Negative: 0.0012376%,
Neutral: 0.0163052%,
Positive: 0.9824572%",POSITIVE
mi sento piuttosto in colpa per aver pubblicato le foto di alcuni gatti randagi che ho coccolato per strada e per non aver pubblicato nemmeno le foto dei miei due gatti,sadness,"Negative: 0.9889748%,
Neutral: 0.0106190%,
Positive: 0.0004062%",NEGATIVE
Stavo cercando davvero di essere gradito alle persone e questo mi ha fatto sentire così sconfitto,sadness,"Negative: 0.8845515%,
Neutral: 0.0103311%,
Positive: 0.1051173%",NEGATIVE
"Ho la sensazione che ci saranno molte citazioni sarcastiche in questo e nei post futuri su di lui, cavolo",anger,"Negative: 0.0101752%,
Neutral: 0.0421632%,
Positive: 0.9476615%",POSITIVE
"mi sento così dannatamente disgustato, violato, ferito, arrabbiato e tutto il resto",anger,"Negative: 0.9964207%,
Neutral: 0.0029603%,
Positive: 0.0006190%",NEGATIVE
"mi sento stressato o la mia famiglia è negativa, il lavoro è la mia fuga e ogni fattore di stress scompare grazie ai bambini",sadness,"Negative: 0.6399506%,
Neutral: 0.2008391%,
Positive: 0.1592103%",NEGATIVE
le ho detto che mi sono svegliata arrabbiata perché sono una donna e che probabilmente dovrò sempre preoccuparmi di essere violentata,anger,"Negative: 0.9912905%,
Neutral: 0.0085342%,
Positive: 0.0001754%",NEGATIVE
mi sento per te nonostante l'amarezza e il desiderio,optimism,"Negative: 0.0852102%,
Neutral: 0.0710804%,
Positive: 0.8437093%",POSITIVE
mi sento estatico e leggero come l'aria,joy,"Negative: 0.0000909%,
Neutral: 0.0055926%,
Positive: 0.9943165%",POSITIVE
"mi sdraiavo sul letto e lo sentivo in qualche modo brillare e sapevo che, anche se la maggior parte dei meningiomi sono benigni, il mio stava crescendo e doveva uscire il prima possibile",optimism,"Negative: 0.0001326%,
Neutral: 0.0105960%,
Positive: 0.9892714%",POSITIVE
ho ancora la sensazione di farla franca con qualcosa di cattivo,disgust,"Negative: 0.9966936%,
Neutral: 0.0023874%,
Positive: 0.0009189%",NEGATIVE
non mi sentivo affrettato,fear,"Negative: 0.1626336%,
Neutral: 0.7918931%,
Positive: 0.0454734%",NEUTRAL
mi sentivo un po' invidioso di me stesso da giovane ero in ottima forma per correre da giovane e avevo tutta la vita davanti a me,joy,"Negative: 0.0001398%,
Neutral: 0.0016181%,
Positive: 0.9982420%",POSITIVE
sento che le persone che conosco sono davvero generose e i miei bisogni sono soddisfatti,optimism,"Negative: 0.0002642%,
Neutral: 0.0012139%,
Positive: 0.9985219%",POSITIVE
"Mi sento un po' fuori dalla mia portata con le mie capacità di colorare in mezzo a tutto questo talento, quindi per favore sii gentile con me",optimism,"Negative: 0.0003451%,
Neutral: 0.0012374%,
Positive: 0.9984175%",POSITIVE
mi sento come se fosse un po' incazzato con me,anger,"Negative: 0.9903983%,
Neutral: 0.0092927%,
Positive: 0.0003091%",NEGATIVE
ho guadagnato un po’ di peso mi sento molto insicuro nella mia immagine di me stesso,sadness,"Negative: 0.9708846%,
Neutral: 0.0259548%,
Positive: 0.0031606%",NEGATIVE
ultimamente ho avuto dei problemi con la messa a fuoco e l'esposizione e non sono sicuro se sia colpa mia o della mia fotocamera,sadness,"Negative: 0.9936744%,
Neutral: 0.0059620%,
Positive: 0.0003636%",NEGATIVE
Mi sento più incasinato di ieri sera,sadness,"Negative: 0.5853761%,
Neutral: 0.0365304%,
Positive: 0.3780934%",NEGATIVE
"posso sentire un biff violento che viene colpito da un tuono per tutta la lunghezza, lo stesso fuoco del desiderio si accende molto rapidamente",anger,"Negative: 0.0398654%,
Neutral: 0.4343024%,
Positive: 0.5258322%",POSITIVE
sto leggendo qualcosa che hanno scritto i santi provo una vera fitta di dolce dolore per l'amore che hanno per il nostro signore,sadness,"Negative: 0.0637327%,
Neutral: 0.1501396%,
Positive: 0.7861277%",POSITIVE
"Non sto cercando di sembrare sarcastico, ma sto solo cercando di sottolineare che, tra le pressioni quotidiane della vita come moglie e mamma, spesso potremmo ritrovarci a sentirci poco importanti o robotici, se vuoi, nello svolgere i nostri compiti",sadness,"Negative: 0.0032156%,
Neutral: 0.9917132%,
Positive: 0.0050713%",NEUTRAL
Non sto piangendo in un angolo o sentendomi così irritabile e fuori controllo da non riuscire a gestirlo,sadness,"Negative: 0.9416751%,
Neutral: 0.0559308%,
Positive: 0.0023940%",NEGATIVE
"mi sento nostalgico, non posso battere il corys iframe consentirefullscreen consentirefullscreen frameborder Height src http www",joy,"Negative: 0.0005354%,
Neutral: 0.0285381%,
Positive: 0.9709264%",POSITIVE
"Adoro la sensazione schiumosa, è così delicato sulla pelle che non pizzica né irrita in alcun modo",joy,"Negative: 0.0004036%,
Neutral: 0.0007860%,
Positive: 0.9988104%",POSITIVE
mi sento così stupido per la facilità con cui piango in questi giorni,sadness,"Negative: 0.9974643%,
Neutral: 0.0020883%,
Positive: 0.0004474%",NEGATIVE
mi sento davvero privilegiato nel vedere ballerini così belli muoversi e lo chiamo lavoro,joy,"Negative: 0.0000879%,
Neutral: 0.0065337%,
Positive: 0.9933785%",POSITIVE
ho freddo dentro,disgust,"Negative: 0.0187300%,
Neutral: 0.9134783%,
Positive: 0.0677918%",NEUTRAL
mi sento davvero come merce danneggiata,sadness,"Negative: 0.9972618%,
Neutral: 0.0025603%,
Positive: 0.0001778%",NEGATIVE
sento il bordo freddo della canna contro la mia testa,sadness,"Negative: 0.0081449%,
Neutral: 0.9686158%,
Positive: 0.0232392%",NEUTRAL
mi sento completamente isolato,sadness,"Negative: 0.9762357%,
Neutral: 0.0233869%,
Positive: 0.0003774%",NEGATIVE
Non mi sono sentito troppo devastato finché non ho visto la gente scappare dal fumo e tutto il resto,sadness,"Negative: 0.4759710%,
Neutral: 0.2319073%,
Positive: 0.2921217%",NEGATIVE
mi sento ancora bene,joy,"Negative: 0.0001176%,
Neutral: 0.0013108%,
Positive: 0.9985716%",POSITIVE
ho visto lil seb di cui mi sono innamorato e ho pensato che fosse perfetto da portare con me mentre esploro baltimora,joy,"Negative: 0.0001557%,
Neutral: 0.0017900%,
Positive: 0.9980543%",POSITIVE
"mi sento ancora malissimo, ma davvero",sadness,"Negative: 0.5189345%,
Neutral: 0.2521826%,
Positive: 0.2288829%",NEGATIVE
mi sento sempre dispiaciuto qualche settimana dopo,sadness,"Negative: 0.9852792%,
Neutral: 0.0142085%,
Positive: 0.0005124%",NEGATIVE
Ho sperimentato personalmente questa sensazione straziante e in seguito mi sono preso a calci per aver commesso quegli stupidi errori che si verificano quando l'ansia si mette in mezzo,sadness,"Negative: 0.9167122%,
Neutral: 0.0374352%,
Positive: 0.0458526%",NEGATIVE
sono passato dal sentirmi impotente a potente,joy,"Negative: 0.4657928%,
Neutral: 0.5087811%,
Positive: 0.0254261%",NEUTRAL
In realtà mi sento un po' trionfante guardando lo svolgersi di questa crisi economica,joy,"Negative: 0.0014841%,
Neutral: 0.0641505%,
Positive: 0.9343655%",POSITIVE
Voglio farlo senza sentirmi troppo inibito,anticipation,"Negative: 0.0086638%,
Neutral: 0.9439564%,
Positive: 0.0473798%",NEUTRAL
quando stavo facendo delle ricerche qualche mese fa,anticipation,"Negative: 0.0026416%,
Neutral: 0.9956958%,
Positive: 0.0016625%",NEUTRAL
Non mi sento così meschino nel piangere sulla pelle,sadness,"Negative: 0.1165924%,
Neutral: 0.3353109%,
Positive: 0.5480967%",POSITIVE
"mi sento insultato dicendo che il reale è più grande di quanto amico, il tuo reale è una merda di mucca",anger,"Negative: 0.9435237%,
Neutral: 0.0540854%,
Positive: 0.0023909%",NEGATIVE
"Adoro che le mie ragazze abbiano immaginazione e leggano fiabe, ma sento fortemente che anche la realtà è importante",joy,"Negative: 0.0001253%,
Neutral: 0.0014531%,
Positive: 0.9984217%",POSITIVE
"Ho sentito che ci sono donne là fuori le cui esperienze su Pinterest le fanno sentire inadeguate come madri, mogli e amiche",sadness,"Negative: 0.0025600%,
Neutral: 0.9931508%,
Positive: 0.0042891%",NEUTRAL
"ehm, immagino di non essermi sentito compassionevole",optimism,"Negative: 0.5640537%,
Neutral: 0.4157766%,
Positive: 0.0201697%",NEGATIVE
"ho eseguito una scansione completa del computer con il mio antivirus avast e non sono stati rilevati virus, tuttavia mi sento ancora un po' paranoico riguardo a questi programmi",fear,"Negative: 0.9622939%,
Neutral: 0.0350261%,
Positive: 0.0026800%",NEGATIVE
"Io per primo mi sento un po' in ansia per quanto tempo resteremo, ma so che dobbiamo farlo",fear,"Negative: 0.0186509%,
Neutral: 0.9112270%,
Positive: 0.0701222%",NEUTRAL
Sono piuttosto soddisfatto della quantità di lavoro che i cambiamenti di percorso mi hanno permesso di documentare,joy,"Negative: 0.0002731%,
Neutral: 0.0043702%,
Positive: 0.9953566%",POSITIVE
"Sono onesto, sono sorpreso di me stesso per essermi sentito così emozionato per tutto ciò, avendo adottato un ghigno piuttosto infantile nei confronti di Heaney quando era annoiato a scuola",sadness,"Negative: 0.0016642%,
Neutral: 0.0035423%,
Positive: 0.9947935%",POSITIVE
"sapevo che c'erano molti problemi ormonali in corso anche nel mio corpo, ma il pianto incontrollabile era dovuto ancora al fatto di sentirmi così insicuro su tutto",sadness,"Negative: 0.9617091%,
Neutral: 0.0359306%,
Positive: 0.0023602%",NEGATIVE
mi sento come se fossi condannato a trovare un uomo,sadness,"Negative: 0.0062522%,
Neutral: 0.9895653%,
Positive: 0.0041825%",NEUTRAL
mi sento davvero così noioso oggi,sadness,"Negative: 0.9983034%,
Neutral: 0.0013859%,
Positive: 0.0003106%",NEGATIVE
ho la sensazione che un grafico non mostri i dati con sufficiente precisione per essere utile,disgust,"Negative: 0.9941772%,
Neutral: 0.0049110%,
Positive: 0.0009117%",NEGATIVE
"Provo molti sentimenti di amore e calore per lei, ma a volte penso di averla torturata",sadness,"Negative: 0.1049221%,
Neutral: 0.0371639%,
Positive: 0.8579140%",POSITIVE
"Mi sento piuttosto ingrato per questo, ma non vedo l'ora che arrivi l'estate, il calore e le notti luminose",joy,"Negative: 0.1088735%,
Neutral: 0.0231868%,
Positive: 0.8679397%",POSITIVE
mi sentivo spaventato nel profondo e se i miei amici avessero riso di me e se il signore fosse stato troppo duro e se,fear,"Negative: 0.9892201%,
Neutral: 0.0103986%,
Positive: 0.0003813%",NEGATIVE
non so perché questo mi faccia sentire così sconvolto,sadness,"Negative: 0.6968606%,
Neutral: 0.2892443%,
Positive: 0.0138951%",NEGATIVE
Provo una tale gratitudine per i doni generosi che abbiamo ricevuto il giorno del nostro matrimonio tanti anni fa,joy,"Negative: 0.0002004%,
Neutral: 0.0010261%,
Positive: 0.9987734%",POSITIVE
ho la sensazione che non sarà così bello se lo faccio presto,sadness,"Negative: 0.9414719%,
Neutral: 0.0276251%,
Positive: 0.0309030%",NEGATIVE
Vedo il suo viso penso solo allo straordinario viaggio che ha intrapreso qui con noi e mi sento così privilegiato di averne fatto parte,joy,"Negative: 0.0000909%,
Neutral: 0.0037009%,
Positive: 0.9962082%",POSITIVE
a cui ero affezionato ma con cui ho taciuto riguardo al mio gradimento o perché sono confuso sui miei sentimenti o perché mi sento inadeguato con me stesso,sadness,"Negative: 0.9065282%,
Neutral: 0.0920456%,
Positive: 0.0014262%",NEGATIVE
"Mi sento davvero avventuroso, sceglierò un finto falco di qualche tipo",joy,"Negative: 0.0072533%,
Neutral: 0.1598196%,
Positive: 0.8329271%",POSITIVE
Sono stanco di sentirmi come una merce danneggiata per essere una vittima,anger,"Negative: 0.9951134%,
Neutral: 0.0047179%,
Positive: 0.0001687%",NEGATIVE
mi sento una persona meravigliosa,joy,"Negative: 0.0002755%,
Neutral: 0.0011133%,
Positive: 0.9986112%",POSITIVE
mi sento insultato come se pensasse di non dover più lavorare per i miei soldi può pubblicare qualsiasi cosa la gente lo comprerà e la radio troverà qualcosa da trasmettere solo perché è lui,anger,"Negative: 0.7504588%,
Neutral: 0.2436554%,
Positive: 0.0058858%",NEGATIVE
provo un divertente mix di emozioni,joy,"Negative: 0.0002003%,
Neutral: 0.0011480%,
Positive: 0.9986517%",POSITIVE
Non lo dimenticherò mai quando mi ha spruzzato addosso il colorante dicendomi ok sentirai una vampata di calore e poi ti sembrerà di esserti incazzato addosso,anger,"Negative: 0.9957212%,
Neutral: 0.0039371%,
Positive: 0.0003416%",NEGATIVE
non dovrei sentirmi minacciato da questo,fear,"Negative: 0.8643798%,
Neutral: 0.1262824%,
Positive: 0.0093378%",NEGATIVE
"A volte ho vampate di calore più frequenti durante il giorno e inizio a sentire solo un lieve dolore lancinante in un punto della schiena, che spero non sia un'altra nuova metastasi del tumore osseo",sadness,"Negative: 0.5412579%,
Neutral: 0.4391161%,
Positive: 0.0196260%",NEGATIVE
ho più idea di cosa aspettarmi quanto tempo consuma un neonato quanto allattano come potrebbero disturbare il tuo sonno la possibilità di sentirti isolato come devi ridimensionare ciò che puoi ragionevolmente aspettarti di fare in un giorno e così via SU,sadness,"Negative: 0.0229812%,
Neutral: 0.9440312%,
Positive: 0.0329876%",NEUTRAL
Provo così tanto amore per lui e lui è così solidale,joy,"Negative: 0.0000955%,
Neutral: 0.0026940%,
Positive: 0.9972104%",POSITIVE
