text,label,sentiment,dominant_sentiment
Mi è mancato e mi sentivo così irrequieto a casa pensando a lui,sadness,"Negative: 0.8676755%,
Neutral: 0.1189501%,
Positive: 0.0133744%",NEGATIVE
"ho postato un post sulla mia pagina Facebook all'inizio di questa settimana, negli ultimi giorni mi sono sentito un po' scontroso e di cattivo umore",sadness,"Negative: 0.9878874%,
Neutral: 0.0116132%,
Positive: 0.0004995%",NEGATIVE
comincio a sentirmi emotivo,sadness,"Negative: 0.0192093%,
Neutral: 0.9221234%,
Positive: 0.0586674%",NEUTRAL
mi sento così freddo a href http irlandese,disgust,"Negative: 0.5600067%,
Neutral: 0.4185175%,
Positive: 0.0214758%",NEGATIVE
Mi sento come se fossi difettoso o qualcosa del genere perché non ho la febbre da bambino,sadness,"Negative: 0.9406825%,
Neutral: 0.0580554%,
Positive: 0.0012621%",NEGATIVE
mi sento più virtuoso di quando mangio verdure immerse nell'hummus,joy,"Negative: 0.0001198%,
Neutral: 0.0059942%,
Positive: 0.9938861%",POSITIVE
"mi sento molto onorato di essere incluso in una rivista che dà priorità alla salute e allo stile di vita pulito, sono davvero curioso: qualcuno di voi legge riviste che si occupano di salute e stili di vita puliti, come The Green Parent",joy,"Negative: 0.0000758%,
Neutral: 0.0039825%,
Positive: 0.9959417%",POSITIVE
ho trascorso le ultime due settimane di scuola sentendomi infelice,sadness,"Negative: 0.9949581%,
Neutral: 0.0048521%,
Positive: 0.0001897%",NEGATIVE
"Mi sento di nuovo molto tranquillo riguardo al nostro matrimonio ora, dopo averlo celebrato",joy,"Negative: 0.0001022%,
Neutral: 0.0018192%,
Positive: 0.9980786%",POSITIVE
parlavo da molto tempo con coach claudia barcomb e coach ali boe ed entrambi mi hanno fatto sentire davvero il benvenuto alla Union,joy,"Negative: 0.0001120%,
Neutral: 0.0082478%,
Positive: 0.9916401%",POSITIVE
sento che se odiassi completamente le cose eserciterei il mio diritto democratico esprimere la mia opinione in ogni modo possibile e provare a mettere in atto un cambiamento,anger,"Negative: 0.1906237%,
Neutral: 0.7922724%,
Positive: 0.0171040%",NEUTRAL
"mi sento umiliato, imbarazzato o stupido ricorderò che altri si sono sentiti allo stesso modo a causa dello stesso tipo di cose e sarò gentile, disponibile e accogliente",optimism,"Negative: 0.0451877%,
Neutral: 0.0464967%,
Positive: 0.9083156%",POSITIVE
mi sento rassicurato che sto affrontando la mia dieta nel modo giusto e che tutto va bene,optimism,"Negative: 0.0001037%,
Neutral: 0.0024452%,
Positive: 0.9974511%",POSITIVE
sento di dover essere d'accordo con lei anche se posso immaginare alcuni possibili casi piuttosto spiacevoli,fear,"Negative: 0.3395813%,
Neutral: 0.6196024%,
Positive: 0.0408164%",NEUTRAL
"Sono di umore così felice oggi che mi sento quasi felice e non ho fatto nulla di diverso oggi rispetto al solito, è meraviglioso",joy,"Negative: 0.0002864%,
Neutral: 0.0009296%,
Positive: 0.9987840%",POSITIVE
mi sento davvero fuori posto e irritato,anger,"Negative: 0.9973392%,
Neutral: 0.0023506%,
Positive: 0.0003102%",NEGATIVE
so anche che anche per loro non provo altro che un affetto amichevole,joy,"Negative: 0.0008492%,
Neutral: 0.0155660%,
Positive: 0.9835849%",POSITIVE
"Sento di aver avuto un fine settimana piuttosto produttivo e non posso sempre dirlo, non importa quanto riesco a fare",sadness,"Negative: 0.0086561%,
Neutral: 0.0144797%,
Positive: 0.9768642%",POSITIVE
mi sento insicuro in questo momento,sadness,"Negative: 0.9943720%,
Neutral: 0.0049498%,
Positive: 0.0006781%",NEGATIVE
"mi sono sentito piuttosto in ansia tutto il giorno, ma il mio primo giorno di lavoro è stato un ottimo giorno e questo mi ha aiutato molto",optimism,"Negative: 0.0002688%,
Neutral: 0.0010635%,
Positive: 0.9986677%",POSITIVE
"ti ho affrontato, finalmente ti ho affrontato e ora mi sento come se fossi punito se potessi tornare indietro e farlo di nuovo",anger,"Negative: 0.5022934%,
Neutral: 0.3780087%,
Positive: 0.1196979%",NEGATIVE
"mi sento un po' nervoso, vado in palestra",fear,"Negative: 0.2194867%,
Neutral: 0.7661501%,
Positive: 0.0143633%",NEUTRAL
"sento che potrei affrontare qualsiasi situazione e avere successo perché ho gareggiato per tutta la vita, ha spiegato Schaub in un'intervista con a href http crusherreport",joy,"Negative: 0.0002492%,
Neutral: 0.0665328%,
Positive: 0.9332180%",POSITIVE
Non riesco a fermare l'ansia che provo quando sono solo e non ho distrazioni,fear,"Negative: 0.7078813%,
Neutral: 0.1251558%,
Positive: 0.1669629%",NEGATIVE
Sto cercando di definire il mio stile di casa ora che vivo da solo e ho carta bianca creativa,joy,"Negative: 0.0055481%,
Neutral: 0.0341616%,
Positive: 0.9602903%",POSITIVE
ho provato a vedere come sarebbe se mi piacesse una delle mie amiche ma non ha mai funzionato davvero e riesco a sentire solo un legame emotivo con loro perché sono mie amiche,sadness,"Negative: 0.9969626%,
Neutral: 0.0024919%,
Positive: 0.0005455%",NEGATIVE
"Stamattina avevo tutta l'intenzione di fare più giardinaggio mentre faceva ancora fresco, ma mi sentivo davvero schifoso",sadness,"Negative: 0.9972960%,
Neutral: 0.0024190%,
Positive: 0.0002850%",NEGATIVE
"Ho una buona sensazione a riguardo, quindi sono emozionato",joy,"Negative: 0.0001286%,
Neutral: 0.0014826%,
Positive: 0.9983888%",POSITIVE
mi sento come se stessi appena iniziando a comprendere le benedizioni che derivano dall'essere sottomesso alla volontà del padre,optimism,"Negative: 0.0002005%,
Neutral: 0.0342258%,
Positive: 0.9655737%",POSITIVE
"penso alle cose che ho detto e che ho fatto, mi fa sentire disgustato me stesso quando avrei dovuto renderti felice e sorridere, cosa che ero ben lungi dal fare",anger,"Negative: 0.0002832%,
Neutral: 0.0013867%,
Positive: 0.9983302%",POSITIVE
mi sono svegliato ieri lunedì mattina sentendomi un po' depresso,sadness,"Negative: 0.9890255%,
Neutral: 0.0106655%,
Positive: 0.0003090%",NEGATIVE
mi sento così imbarazzato,sadness,"Negative: 0.9967854%,
Neutral: 0.0027478%,
Positive: 0.0004668%",NEGATIVE
ho girovagato in giro ancora un po' stordito e non mi sentivo particolarmente socievole ma poiché ero rimasto nascosto per un paio di giorni e stava diventando un po' malsano mi sono costretto a scendere alla croce e a uscire con la gente,sadness,"Negative: 0.9739284%,
Neutral: 0.0218414%,
Positive: 0.0042302%",NEGATIVE
Posso onestamente dire che dopo ogni chiacchierata con le sorelle mi sento rinvigorito e benedetto,joy,"Negative: 0.0001244%,
Neutral: 0.0013479%,
Positive: 0.9985276%",POSITIVE
"Mi sento ancora stupido a essere in quella classe, tutto questo è colpa di Pbss",sadness,"Negative: 0.9959830%,
Neutral: 0.0038514%,
Positive: 0.0001656%",NEGATIVE
Mi sento un po' stordito ma non riesco a immaginare cosa possano provare le persone che lavoravano nello studio fino a stamattina,surprise,"Negative: 0.9700413%,
Neutral: 0.0202840%,
Positive: 0.0096746%",NEGATIVE
Ammetto che a questo punto mi sento un po' non amato,sadness,"Negative: 0.9955096%,
Neutral: 0.0038716%,
Positive: 0.0006188%",NEGATIVE
mi sento un po' stressato anche se tutte le cose che sto facendo sono divertenti,sadness,"Negative: 0.0009657%,
Neutral: 0.0042031%,
Positive: 0.9948311%",POSITIVE
mi sento piuttosto in ansia,fear,"Negative: 0.9784984%,
Neutral: 0.0194589%,
Positive: 0.0020427%",NEGATIVE
mi sento scioccato e triste per il fatto che ci siano così tante persone malate,sadness,"Negative: 0.9974164%,
Neutral: 0.0020972%,
Positive: 0.0004865%",NEGATIVE
penso che loro siano sempre stati sostenitori dell'idea ed è solo leggermente possibile che i suoi sentimenti per una ragazza particolarmente affascinante del New England lo abbiano portato ad accettare il loro modo di pensare,anticipation,"Negative: 0.0056709%,
Neutral: 0.4579724%,
Positive: 0.5363567%",POSITIVE
mi sento una studentessa cattiva perché sono rimasta indietro,sadness,"Negative: 0.9961141%,
Neutral: 0.0037509%,
Positive: 0.0001350%",NEGATIVE
"Sono destrorso, tuttavia gioco a biliardo con la mano sinistra in modo naturale, quindi provare a giocare con la mano destra mi sembra strano",sadness,"Negative: 0.9732351%,
Neutral: 0.0264375%,
Positive: 0.0003274%",NEGATIVE
"posso sentire che sono gentili, amichevoli e possono capire i miei sentimenti",optimism,"Negative: 0.0001817%,
Neutral: 0.0016277%,
Positive: 0.9981907%",POSITIVE
"Se dovessi andare all'estero o attraversare il confine, diventerei uno straniero e mi sentirò così, ma mai nella mia amata terra",sadness,"Negative: 0.0147778%,
Neutral: 0.0493816%,
Positive: 0.9358407%",POSITIVE
mi sento disgustato da qualsiasi uomo al potere che parli dell'elettricità come un problema nella sua zona e affermi che anche la mia casa ha problemi simili,anger,"Negative: 0.9960533%,
Neutral: 0.0035433%,
Positive: 0.0004034%",NEGATIVE
mi sento trascendente e splendido,joy,"Negative: 0.0001105%,
Neutral: 0.0022599%,
Positive: 0.9976296%",POSITIVE
"finalmente sono arrivato a casa un paio d'ore dopo sentendomi un po' esausto, disidratato e persino scottato dal sole",sadness,"Negative: 0.9739531%,
Neutral: 0.0231601%,
Positive: 0.0028868%",NEGATIVE
mi sento totalmente rilassato e a mio agio,joy,"Negative: 0.0001349%,
Neutral: 0.0015140%,
Positive: 0.9983511%",POSITIVE
Voglio che ognuno di voi senta il mio dolce abbraccio,optimism,"Negative: 0.0000706%,
Neutral: 0.0056139%,
Positive: 0.9943154%",POSITIVE
mi sento privilegiato nel mio mondo,sadness,"Negative: 0.0000872%,
Neutral: 0.0023346%,
Positive: 0.9975782%",POSITIVE
"Non sono una persona socievole, ma per qualche dannato motivo le persone sentono di potermi annoiare con le loro stupide sciocchezze",anger,"Negative: 0.9970853%,
Neutral: 0.0026545%,
Positive: 0.0002602%",NEGATIVE
Mi sono reso conto del mio errore e mi sento davvero malissimo e penso che non dovrei farlo,sadness,"Negative: 0.9974016%,
Neutral: 0.0022905%,
Positive: 0.0003080%",NEGATIVE
suppongo di sentirmi troppo fiducioso a volte,sadness,"Negative: 0.0016324%,
Neutral: 0.9292552%,
Positive: 0.0691124%",NEUTRAL
"sono tornato a casa aspettando la doccia e ho letto qualcosa che mi ha fatto arrabbiare, ecco perché mi sento scontento ahah",anger,"Negative: 0.8876253%,
Neutral: 0.1110665%,
Positive: 0.0013082%",NEGATIVE
mi sono svegliato sentendomi dannatamente stanco e ho lottato contro questa sensazione tutto il giorno forse è tutto il polline la pressione barometrica non lo so lo so ero fuori controllo,sadness,"Negative: 0.9903016%,
Neutral: 0.0081911%,
Positive: 0.0015074%",NEGATIVE
"mi sento come se fossi in paradiso, baciare quelle dolci labbra mi fa sentire come se mi tuffassi in un magico mondo d'amore",joy,"Negative: 0.0001159%,
Neutral: 0.0012238%,
Positive: 0.9986602%",POSITIVE
mi sento così felice,joy,"Negative: 0.0001831%,
Neutral: 0.0010235%,
Positive: 0.9987934%",POSITIVE
Sto correndo a un ritmo approssimativo al minuto che ritengo abbastanza accettabile,optimism,"Negative: 0.9436812%,
Neutral: 0.0276897%,
Positive: 0.0286291%",NEGATIVE
mi sento così deluso quando la mia ex ragazza non mi richiama,sadness,"Negative: 0.9981726%,
Neutral: 0.0016144%,
Positive: 0.0002128%",NEGATIVE
"ho la sensazione che le persone lo usino più del necessario e si godano la sensazione mentre vola via dalla lingua con spensieratezza, ma per me va bene",optimism,"Negative: 0.0003385%,
Neutral: 0.0009597%,
Positive: 0.9987018%",POSITIVE
Non sono sicuro dei meriti di postare su questo blog con la frequenza e la serietà con cui avevo pubblicato l'anno precedente,fear,"Negative: 0.2468006%,
Neutral: 0.6569273%,
Positive: 0.0962722%",NEUTRAL
sono semplicemente invidioso della fiducia in se stessi che avevano,anger,"Negative: 0.0001550%,
Neutral: 0.0014227%,
Positive: 0.9984223%",POSITIVE
mi sentivo strano l'altro giorno ed è andato via circa pochi minuti dopo aver preso la metformina,sadness,"Negative: 0.9511622%,
Neutral: 0.0479864%,
Positive: 0.0008513%",NEGATIVE
quando un amico mi lasciò cadere una rana dal collo,disgust,"Negative: 0.0149532%,
Neutral: 0.9842540%,
Positive: 0.0007928%",NEUTRAL
"Mi sento arrabbiato con qualcuno, faccio qualcosa di premuroso per lei e i miei sentimenti verso di lei si ammorbidiscono",anger,"Negative: 0.9874008%,
Neutral: 0.0119585%,
Positive: 0.0006407%",NEGATIVE
Adoro trascurare questo blog ma a volte mi dispiace per i miei fedeli lettori,joy,"Negative: 0.0518490%,
Neutral: 0.0099041%,
Positive: 0.9382468%",POSITIVE
stavo a letto con la sensazione di aspettare un visitatore indesiderato ciononostante mi dicevo che ero forte e pensavo a cose belle finché non mi sentivo meglio,optimism,"Negative: 0.3068984%,
Neutral: 0.1842053%,
Positive: 0.5088963%",POSITIVE
sento che il mio cuore è torturato da quello che ho fatto,sadness,"Negative: 0.8422873%,
Neutral: 0.1500085%,
Positive: 0.0077042%",NEGATIVE
"Mi sentivo ancora piangente e nervoso, quindi Maggie mi ha offerto un gelato e un film a href http www",sadness,"Negative: 0.9803764%,
Neutral: 0.0192074%,
Positive: 0.0004163%",NEGATIVE
mi sento bisognoso ma a mio agio mi sento vulnerabile ma sicuro sento il bisogno di venire forte ma non ottengo alcun sollievo,sadness,"Negative: 0.0576539%,
Neutral: 0.0392926%,
Positive: 0.9030535%",POSITIVE
"Ho scritto un diario sulla mia tendenza a impegnarmi troppo, il che può farmi sentire esausto e sopraffatto",sadness,"Negative: 0.9016281%,
Neutral: 0.0965425%,
Positive: 0.0018295%",NEGATIVE
Stamattina ho iniziato a sentirmi scoraggiato,sadness,"Negative: 0.9959490%,
Neutral: 0.0039091%,
Positive: 0.0001419%",NEGATIVE
Mi sento agitato con me stesso per non aver previsto prima le sue frustrazioni che avrebbero portato alla fine della nostra relazione,anger,"Negative: 0.9775165%,
Neutral: 0.0207053%,
Positive: 0.0017782%",NEGATIVE
"lo afferro dall'alto, la sua struttura liscia risulta fredda al tatto",fear,"Negative: 0.0011664%,
Neutral: 0.0803920%,
Positive: 0.9184417%",POSITIVE
ero arrabbiata con il mio ragazzo che aveva promesso di venire a trovarmi ma non lo ha fatto perché ha passato la serata con i suoi amici,anger,"Negative: 0.9948331%,
Neutral: 0.0050399%,
Positive: 0.0001269%",NEGATIVE
"odio il fatto di essere seduto qui in ostello a scrivere questo e di sentirmi perfettamente bene e poi torno a casa e ci siamo io, i miei problemi e un muro",anger,"Negative: 0.9535788%,
Neutral: 0.0071032%,
Positive: 0.0393181%",NEGATIVE
"Faccio esercizio, mi sento energico e sono in grado di svolgere gli altri miei compiti in modo molto buono",optimism,"Negative: 0.0001732%,
Neutral: 0.0013240%,
Positive: 0.9985029%",POSITIVE
ho guardato Mabel stamattina ho chiamato il mio seno sinistro Mabel quello destro è Hazel e sento questo strano miscuglio di rabbia e perdita che Valerie ha scritto meno di un mese dopo la diagnosi,anger,"Negative: 0.4067756%,
Neutral: 0.3686084%,
Positive: 0.2246160%",NEGATIVE
mi sento piuttosto scoraggiato da tutta la faccenda,sadness,"Negative: 0.9929608%,
Neutral: 0.0064948%,
Positive: 0.0005444%",NEGATIVE
Sento che un mio contributo sarà valutato come meno potente di quello di Irfan Pathan,optimism,"Negative: 0.6942165%,
Neutral: 0.2923627%,
Positive: 0.0134208%",NEGATIVE
sento che è generoso,optimism,"Negative: 0.0001318%,
Neutral: 0.0029690%,
Positive: 0.9968992%",POSITIVE
mi sento anche un po' tremante,fear,"Negative: 0.9455373%,
Neutral: 0.0420874%,
Positive: 0.0123754%",NEGATIVE
mi sento meglio anche se non lo dico,sadness,"Negative: 0.0070942%,
Neutral: 0.0734835%,
Positive: 0.9194222%",POSITIVE
"mi sento sempre turbato quando siamo in tournée vivendo in un furgone o più recentemente negli autobus del circo, non c'è posto dove appendere il cappello, come dice il testo della canzone",sadness,"Negative: 0.0519603%,
Neutral: 0.4608648%,
Positive: 0.4871748%",POSITIVE
sento che il nostro mondo allora era un posto molto più innocente,optimism,"Negative: 0.0069647%,
Neutral: 0.1219684%,
Positive: 0.8710669%",POSITIVE
mi sento completamente virtuoso anche se il viaggio quotidiano al contenitore del compost non è l'esperienza più piacevole,joy,"Negative: 0.0003571%,
Neutral: 0.0021524%,
Positive: 0.9974905%",POSITIVE
non sento nulla di sospetto davvero,fear,"Negative: 0.0293947%,
Neutral: 0.6867567%,
Positive: 0.2838486%",NEUTRAL
mi sentivo un po' sentimentale oggi,joy,"Negative: 0.8554186%,
Neutral: 0.1303662%,
Positive: 0.0142151%",NEGATIVE
"mi sento come se ormai sapessi chi sono la maggior parte di loro e sto iniziando a sviluppare le mie simpatie e antipatie, anche se non ero entusiasta degli sfratti improvvisi, mi sono sembrati piuttosto inutili, il primo ad essere tornato è tornato e i due webmate hanno avuto un impatto assolutamente pari a zero su di me così non mancheranno",sadness,"Negative: 0.9953972%,
Neutral: 0.0030265%,
Positive: 0.0015765%",NEGATIVE
mi sento meno lamentoso da quando è uscito il sole qui nella zona di San Francisco,optimism,"Negative: 0.1654502%,
Neutral: 0.1364351%,
Positive: 0.6981147%",POSITIVE
fatto un meraviglioso nuovo amico,joy,"Negative: 0.0001071%,
Neutral: 0.0035027%,
Positive: 0.9963900%",POSITIVE
"mi sento quasi in imbarazzo a menzionare la pettegola e il piovanello comune, ma anche in questo caso chi non vorrebbe menzionare il solitario piovanello presente in riva al mare",sadness,"Negative: 0.8933696%,
Neutral: 0.1003862%,
Positive: 0.0062443%",NEGATIVE
So che è facile provare un po' di invidia nei miei confronti e non posso dirti che non dovresti,sadness,"Negative: 0.0756510%,
Neutral: 0.0308500%,
Positive: 0.8934990%",POSITIVE
mi sentirei malissimo se fosse stata qui tutto questo tempo,sadness,"Negative: 0.9699570%,
Neutral: 0.0204148%,
Positive: 0.0096282%",NEGATIVE
mi sento molto fuorviato da qualcuno che pensavo davvero di conoscere e che mi piaceva moltissimo,sadness,"Negative: 0.2481252%,
Neutral: 0.0275371%,
Positive: 0.7243376%",POSITIVE
mi sento come se fossimo condannati noi umani,sadness,"Negative: 0.0221659%,
Neutral: 0.9768904%,
Positive: 0.0009437%",NEUTRAL
"tra qualche minuto dovrò controllare, ma c'è questo orologio sopra lo schermo che continua a scorrere i minuti rimasti, quindi mi sento un po' frenetico",disgust,"Negative: 0.9675212%,
Neutral: 0.0313294%,
Positive: 0.0011494%",NEGATIVE
"sono riuscito a dormire ma se potessi scegliere di non essere svegliato dalla sveglia, lo prenderei sicuramente al posto di qualsiasi cosa mi faccia sentire così intontito",sadness,"Negative: 0.0740574%,
Neutral: 0.2804637%,
Positive: 0.6454789%",POSITIVE
Sono alcune settimane che mi annoio e mi sento un po' triste a causa dei giorni di pioggia,sadness,"Negative: 0.9971684%,
Neutral: 0.0025687%,
Positive: 0.0002629%",NEGATIVE
Penso che queste informazioni siano vitali per andare avanti con la tua giornata e non sarai completo finché non le leggerai,optimism,"Negative: 0.0003402%,
Neutral: 0.0058029%,
Positive: 0.9938568%",POSITIVE
"Mi sento generoso oggi, eccone un altro che potresti aver già visto, ma va bene per una risatina",joy,"Negative: 0.0001315%,
Neutral: 0.0017196%,
Positive: 0.9981489%",POSITIVE
mi sentirei a disagio nel chiamare una di queste persone all'improvviso per uscire o piuttosto per familiarizzare con loro a un livello più profondo non sono miei amici e parenti,sadness,"Negative: 0.5344105%,
Neutral: 0.4556859%,
Positive: 0.0099036%",NEGATIVE
Non mi piace la sensazione che provo quando qualcuno si offende anche solo un po' per qualche osservazione disinvolta che ho fatto,anger,"Negative: 0.9885129%,
Neutral: 0.0109518%,
Positive: 0.0005353%",NEGATIVE
"Capisco che tutto si sgretola, ma grazie per aver sentito il bisogno di dirmi che sono io quello che è incasinato",anger,"Negative: 0.5893220%,
Neutral: 0.0142054%,
Positive: 0.3964726%",NEGATIVE
Sto controllando la crescita di questa attività e ogni volta che pubblico un lavoro per un cliente mi sento ancora più determinato a trasformarla un giorno in un'attività a tempo pieno,optimism,"Negative: 0.0007288%,
Neutral: 0.0520684%,
Positive: 0.9472028%",POSITIVE
Ero incinta di Dean e ho passato il resto della gravidanza con il terrore di avere un altro bambino,fear,"Negative: 0.0700184%,
Neutral: 0.9110578%,
Positive: 0.0189238%",NEUTRAL
"in realtà mi sento agitato, il che mi ha portato ieri a una giornata terribile in cui non sono riuscito a concentrarmi su nulla e ho praticamente sprecato la giornata",sadness,"Negative: 0.9974377%,
Neutral: 0.0023043%,
Positive: 0.0002581%",NEGATIVE
ho un'ed ti dirò che so che non dovrei vergognarmi di mangiare una barretta proteica a colazione e il fatto di averne mangiata una non è ciò che mi fa vergognare è il fatto che non l'ho preparata è ciò che mi ha fatto impiccare la mia testa e la coda piegata,anger,"Negative: 0.8194208%,
Neutral: 0.1447800%,
Positive: 0.0357992%",NEGATIVE
"mi sento radioso, realizzato e felice",joy,"Negative: 0.0000927%,
Neutral: 0.0015574%,
Positive: 0.9983499%",POSITIVE
Penso ai magneti da frigorifero che erano così popolari qualche anno fa,joy,"Negative: 0.0114602%,
Neutral: 0.4574990%,
Positive: 0.5310408%",POSITIVE
Mi sento molto privato del contatto con tutto quello che è successo,sadness,"Negative: 0.0003639%,
Neutral: 0.0167119%,
Positive: 0.9829242%",POSITIVE
"Mi sento in ansia per questo, ma anche selvaggiamente emozionato",joy,"Negative: 0.0125037%,
Neutral: 0.0121077%,
Positive: 0.9753886%",POSITIVE
mi sentivo piuttosto rilassato quando salii a bordo del nuovissimo airbus e mi diressi verso il cielo nebbioso in viaggio verso Honolulu,joy,"Negative: 0.0001366%,
Neutral: 0.0076579%,
Positive: 0.9922054%",POSITIVE
Sono una persona tranquilla ma quello che devo dire penso sia importante,optimism,"Negative: 0.0007060%,
Neutral: 0.0454277%,
Positive: 0.9538662%",POSITIVE
Penso di aver iniziato ad avere un po' di nostalgia di casa,sadness,"Negative: 0.0007899%,
Neutral: 0.0055753%,
Positive: 0.9936348%",POSITIVE
"Non vedo l'ora di iniziare a fare un po' di lavoro, dice letteralmente l'uomo che lavora lì, quindi voi ragazzi volete tornare indietro e vedere se riusciamo a trovare qualcosa da fare",optimism,"Negative: 0.0013690%,
Neutral: 0.1163218%,
Positive: 0.8823093%",POSITIVE
