text,label
"sono andato alla fabbrica di caramelle era chiaramente una linea di produzione turistica ma non mi è sembrato spiacevole o affrettato, solo ben pianificato e professionale, una visita interessante e pittoresca",joy
sento di essere così patetico e decisamente stupido da permettere alle persone di giocare con i miei sentimenti e poi lasciare che sia io a ripulire questo mucchio di tristezza dentro di me,sadness
Mi sento molto fortunato oggi che condividano un legame così stretto,joy
sento costantemente questi attacchi di malcontento,sadness
Sono stato consumato dal senso di colpa e da altri sentimenti di malcontento,sadness
mi viene voglia di dare un colpo all'occhio a qualcuno e sputarci sopra una vecchia signora irritabile cerco di tirarmi su di morale,anger
mi sento davvero speciale e importante,joy
metto il pollo preferibilmente con l'osso nelle cosce di pollo senza pelle perché sento che hanno più sapore in una pentola di coccio in modo che diventi tenero e si sfaldi,disgust
mi sento vuoto e aspetto nuovi segnali,sadness
Onestamente non mi sento scoraggiato oggi come al solito,optimism
sento un brivido così doloroso solo se lo sento,joy
mi sento mmf e non posso prendermi la briga di combatterlo,sadness
non riesco a dormire accendo la musica se devo svegliarmi accendo la musica se mi sento cupo la musica viene in mio soccorso ogni volta che mi sento estatico le melodie sono al mio fianco se voglio incontrare il mio lato selvaggio saluta musica,joy
mi sento così scontento di questa decisione,sadness
"Lo so, è così difficile, soprattutto quando ritieni di aver subito un torto",sadness
vedo la luce delle stelle accarezzarti i capelli non sento più i teneri baci che eravamo soliti scambiarci chiudo gli occhi e chiaramente il mio cuore ricorda che mille addii non potrebbero mai spegnere la brace,sadness
"Spero di aver sbagliato, ma non riesco a vedere la nazionale inglese raggiungere la doppia cifra la prossima stagione e, a meno che non investano nel resto della squadra per fornirgli un servizio, sento che saranno condannati",sadness
"potevo sentire l'odore del cloro, sentire i muscoli doloranti, vedere il mio allenatore corpulento e baffuto e i miei compagni di squadra in età prepuberale e sentire i fischi e le urla dei genitori sugli spalti",sadness
Ho la sensazione che avrà molto più successo di me,optimism
Adoro questa canzone e mi fa sempre sentire felice,joy
"a tutti, questo sarà un post un po' breve perché al momento ho un raffreddore puzzolente e mi sento davvero di merda, ma ho già scritto un'altra pagina su",anger
provo un'attrazione speciale e una profonda ammirazione per i vigili del fuoco che guidarono la carica nelle torri mentre tutti gli altri correvano fuori,joy
non mi sentivo accettato,sadness
a volte mi sento come un boscaiolo di latta senza cuore a volte come un leone codardo ma voglio davvero credere che esista un href http www,optimism
mi sento semplicemente scoraggiato perché il settore è enorme e ciò che mi rende speciale in un mare di belle ragazze,sadness
"sono apparso nel suo ufficio con un'espressione impassibile sul viso, pronto a recidere i legami con quell'uomo mentre mi sentivo il cuore spezzato all'idea",sadness
"suppongo che un paio di giorni in cui non si sente così caldo siano meglio della pertosse, la visita è andata davvero bene",joy
"mi mancano le nostre chiacchiere, le nostre coccole, i nostri baci e i sentimenti che puoi condividere solo con la persona amata",sadness
mi sento energico ed entusiasta di vedere i miei risultati alla fine della settimana,joy
mi vergogno così tanto che voglio arrendermi,sadness
mi sento perfetto con te su Facebook href http www,joy
"Spero che tirerà fuori lui stesso la carta velina, ma ho la sensazione che per lui domenica sarà solo un altro giorno in cui essere carino e meraviglioso",joy
Ritengo anche che sia un peccato che quasi tutti i lettori che incontreranno quell'uomo saranno afroamericani a differenza di me,sadness
sembro e mi sento infelice,sadness
Cerco di condividere ciò che preparo con molte persone perché amo le persone e voglio che si sentano amate,joy
mi sento molto strano oggi,sadness
"Non ho soldi extra, sono sempre preoccupato e mi sento davvero patetico",sadness
"ho la sensazione che ciò sia dovuto al fatto che abbiamo deciso di scattare in modo più fotogiornalistico e completamente senza oggetti di scena, il che è uno dei miei preferiti",optimism
Devo dire che per arrivare a questo punto in cui non provo altro che sentimenti amichevoli nei suoi confronti ci vuole molto tempo,optimism
"Penso che questo sia di per sé importante, il fatto che tutti noi abbiamo il nostro modo individuale di elaborare il lutto",sadness
Non posso fare a meno di sentirmi anche un po' irrequieto,sadness
"Ho molto da imparare, sento che le persone mi supportano",optimism
mi sento in perfetta altezza o solo in altezza delle immagini dei fili,joy
mi sento come se fossi una presenza sgradita ogni volta che lei è nei paraggi,disgust
"riesco davvero a decodificare ma mi dispiace, devo vomitare i miei sentimenti perché sono così irritabile e tutto mi dà sui nervi",sadness
Mi sento come se fossi stato punito e posso cambiare la situazione e non ho nulla di cui aver paura,fear
mi sento piuttosto in colpa per aver pubblicato le foto di alcuni gatti randagi che ho coccolato per strada e per non aver pubblicato nemmeno le foto dei miei due gatti,sadness
Stavo cercando davvero di essere gradito alle persone e questo mi ha fatto sentire così sconfitto,sadness
"Ho la sensazione che ci saranno molte citazioni sarcastiche in questo e nei post futuri su di lui, cavolo",anger
"mi sento così dannatamente disgustato, violato, ferito, arrabbiato e tutto il resto",anger
"mi sento stressato o la mia famiglia è negativa, il lavoro è la mia fuga e ogni fattore di stress scompare grazie ai bambini",sadness
le ho detto che mi sono svegliata arrabbiata perché sono una donna e che probabilmente dovrò sempre preoccuparmi di essere violentata,anger
mi sento per te nonostante l'amarezza e il desiderio,optimism
mi sento estatico e leggero come l'aria,joy
"mi sdraiavo sul letto e lo sentivo in qualche modo brillare e sapevo che, anche se la maggior parte dei meningiomi sono benigni, il mio stava crescendo e doveva uscire il prima possibile",optimism
ho ancora la sensazione di farla franca con qualcosa di cattivo,disgust
non mi sentivo affrettato,fear
mi sentivo un po' invidioso di me stesso da giovane ero in ottima forma per correre da giovane e avevo tutta la vita davanti a me,joy
sento che le persone che conosco sono davvero generose e i miei bisogni sono soddisfatti,optimism
"Mi sento un po' fuori dalla mia portata con le mie capacità di colorare in mezzo a tutto questo talento, quindi per favore sii gentile con me",optimism
mi sento come se fosse un po' incazzato con me,anger
ho guadagnato un po’ di peso mi sento molto insicuro nella mia immagine di me stesso,sadness
ultimamente ho avuto dei problemi con la messa a fuoco e l'esposizione e non sono sicuro se sia colpa mia o della mia fotocamera,sadness
Mi sento più incasinato di ieri sera,sadness
"posso sentire un biff violento che viene colpito da un tuono per tutta la lunghezza, lo stesso fuoco del desiderio si accende molto rapidamente",anger
sto leggendo qualcosa che hanno scritto i santi provo una vera fitta di dolce dolore per l'amore che hanno per il nostro signore,sadness
"Non sto cercando di sembrare sarcastico, ma sto solo cercando di sottolineare che, tra le pressioni quotidiane della vita come moglie e mamma, spesso potremmo ritrovarci a sentirci poco importanti o robotici, se vuoi, nello svolgere i nostri compiti",sadness
Non sto piangendo in un angolo o sentendomi così irritabile e fuori controllo da non riuscire a gestirlo,sadness
"mi sento nostalgico, non posso battere il corys iframe consentirefullscreen consentirefullscreen frameborder Height src http www",joy
"Adoro la sensazione schiumosa, è così delicato sulla pelle che non pizzica né irrita in alcun modo",joy
mi sento così stupido per la facilità con cui piango in questi giorni,sadness
mi sento davvero privilegiato nel vedere ballerini così belli muoversi e lo chiamo lavoro,joy
ho freddo dentro,disgust
mi sento davvero come merce danneggiata,sadness
sento il bordo freddo della canna contro la mia testa,sadness
mi sento completamente isolato,sadness
Non mi sono sentito troppo devastato finché non ho visto la gente scappare dal fumo e tutto il resto,sadness
mi sento ancora bene,joy
ho visto lil seb di cui mi sono innamorato e ho pensato che fosse perfetto da portare con me mentre esploro baltimora,joy
"mi sento ancora malissimo, ma davvero",sadness
mi sento sempre dispiaciuto qualche settimana dopo,sadness
Ho sperimentato personalmente questa sensazione straziante e in seguito mi sono preso a calci per aver commesso quegli stupidi errori che si verificano quando l'ansia si mette in mezzo,sadness
sono passato dal sentirmi impotente a potente,joy
In realtà mi sento un po' trionfante guardando lo svolgersi di questa crisi economica,joy
Voglio farlo senza sentirmi troppo inibito,anticipation
quando stavo facendo delle ricerche qualche mese fa,anticipation
Non mi sento così meschino nel piangere sulla pelle,sadness
"mi sento insultato dicendo che il reale è più grande di quanto amico, il tuo reale è una merda di mucca",anger
"Adoro che le mie ragazze abbiano immaginazione e leggano fiabe, ma sento fortemente che anche la realtà è importante",joy
"Ho sentito che ci sono donne là fuori le cui esperienze su Pinterest le fanno sentire inadeguate come madri, mogli e amiche",sadness
"ehm, immagino di non essermi sentito compassionevole",optimism
"ho eseguito una scansione completa del computer con il mio antivirus avast e non sono stati rilevati virus, tuttavia mi sento ancora un po' paranoico riguardo a questi programmi",fear
"Io per primo mi sento un po' in ansia per quanto tempo resteremo, ma so che dobbiamo farlo",fear
Sono piuttosto soddisfatto della quantità di lavoro che i cambiamenti di percorso mi hanno permesso di documentare,joy
"Sono onesto, sono sorpreso di me stesso per essermi sentito così emozionato per tutto ciò, avendo adottato un ghigno piuttosto infantile nei confronti di Heaney quando era annoiato a scuola",sadness
"sapevo che c'erano molti problemi ormonali in corso anche nel mio corpo, ma il pianto incontrollabile era dovuto ancora al fatto di sentirmi così insicuro su tutto",sadness
mi sento come se fossi condannato a trovare un uomo,sadness
mi sento davvero così noioso oggi,sadness
ho la sensazione che un grafico non mostri i dati con sufficiente precisione per essere utile,disgust
"Provo molti sentimenti di amore e calore per lei, ma a volte penso di averla torturata",sadness
"Mi sento piuttosto ingrato per questo, ma non vedo l'ora che arrivi l'estate, il calore e le notti luminose",joy
mi sentivo spaventato nel profondo e se i miei amici avessero riso di me e se il signore fosse stato troppo duro e se,fear
non so perché questo mi faccia sentire così sconvolto,sadness
Provo una tale gratitudine per i doni generosi che abbiamo ricevuto il giorno del nostro matrimonio tanti anni fa,joy
ho la sensazione che non sarà così bello se lo faccio presto,sadness
Vedo il suo viso penso solo allo straordinario viaggio che ha intrapreso qui con noi e mi sento così privilegiato di averne fatto parte,joy
a cui ero affezionato ma con cui ho taciuto riguardo al mio gradimento o perché sono confuso sui miei sentimenti o perché mi sento inadeguato con me stesso,sadness
"Mi sento davvero avventuroso, sceglierò un finto falco di qualche tipo",joy
Sono stanco di sentirmi come una merce danneggiata per essere una vittima,anger
mi sento una persona meravigliosa,joy
mi sento insultato come se pensasse di non dover più lavorare per i miei soldi può pubblicare qualsiasi cosa la gente lo comprerà e la radio troverà qualcosa da trasmettere solo perché è lui,anger
provo un divertente mix di emozioni,joy
Non lo dimenticherò mai quando mi ha spruzzato addosso il colorante dicendomi ok sentirai una vampata di calore e poi ti sembrerà di esserti incazzato addosso,anger
non dovrei sentirmi minacciato da questo,fear
"A volte ho vampate di calore più frequenti durante il giorno e inizio a sentire solo un lieve dolore lancinante in un punto della schiena, che spero non sia un'altra nuova metastasi del tumore osseo",sadness
ho più idea di cosa aspettarmi quanto tempo consuma un neonato quanto allattano come potrebbero disturbare il tuo sonno la possibilità di sentirti isolato come devi ridimensionare ciò che puoi ragionevolmente aspettarti di fare in un giorno e così via SU,sadness
Provo così tanto amore per lui e lui è così solidale,joy
mi sento accettato dai ragazzi,joy
stavo dormendo quando ho sentito i vicini urlare,fear
"voglio dire, mi sento una stronza davvero odiosa ad ammetterlo, ma ricevo molti messaggi da ragazzi su MySpace durante la settimana",anger
"dirò semplicemente che mi sento emotivamente calmo e centrato sento che man mano che cresce il rispetto per me stesso, il mio desiderio di cose migliori progredisce naturalmente",optimism
Spesso mi sento offeso quando gli altri fan pensano che io chiami mio figlio Joshua Joshua in Josh Groban,anger
avevo davvero dimenticato come ci si sente a ridere sinceramente ed è lui che mi fa tornare la risata sincera,joy
Mi sento un po' stordito dalla quantità di oggetti che non uso più per le decorazioni,sadness
"penso che la mia esperienza con il taiko finora sia stata all'origine del mio sentimento di insoddisfazione e di insoddisfazione ultimamente, ma c'è qualcos'altro che non sono riuscito a spiegare",sadness
Ho la sensazione che Tyler non sia molto entusiasta dell'idea,anticipation
mi sento così incredibilmente senza speranza di perdere peso,sadness
non volevo sentirmi emarginata come severa ragazza mormone religiosa né volevo sentirmi in dovere di ricordare a tutti che non bevevo fumo né indossavo abiti corti,anger
sospetto che piacerà molto ai lettori cristiani ma da ateo ho finito per sentirmi insultato dal suo messaggio religioso e dal modo in cui tratta l'argomento,anger
"Ho rivisto il biglietto di auguri per il nuovo anno che mi hai presentato, posso sentire che sei sincero",optimism
"Sono stanco o mi sento un po' di merda, mi mette sempre di umore migliore",sadness
"Sono rimasto presso Heritage Christian per la soddisfazione che provo nel compiere l'opera di Cristo in azione essendo le mani, gli occhi, le gambe e la voce di sostegno delle persone che ho avuto la fortuna di conoscere e sostenere",optimism
Mi sento semplicemente sopraffatto e non posso fare nulla per risolverlo,sadness
la stavo guardando e mi sporgevo un po' in avanti sentendomi davvero appassionato,anticipation
Non mi allarmato e mi chiedo se dovrei,fear
"non avevo paura, raramente avevo paura di un posto qualsiasi, ma non potevo fare a meno di sentirmi a disagio in compagnia di così tanti grandi gruppi di uomini e dell'unica donna visibile ovunque",fear
l'ho pregata di venire in casa con me al nostro ritorno e lei lo ha fatto ma se n'è andata subito sentendosi decisamente sgradita,disgust
Voglio davvero che la gente legga i miei blog ma non riesco a scrivere niente di abbastanza interessante scrivo solo quello che sento e chi vuole leggere quel genere di cose noiose,sadness
"Mi sono sentita un po' strana tutto il giorno, al limite di quel tipo di periodo premestruale in cui ti odi, quindi ho cercato di prendermela con calma e di fare le mie cose",joy
mi sento davvero svogliato in questo momento,sadness
"Mi aspettavo di sentirmi di più, ma no, ed è una piacevole sorpresa",joy
quando vai all'esame,anticipation
Mi sento un po' meglio e con più spirito natalizio pensavo che entro questa data avrei avuto tutte le decorazioni natalizie ma non ho finito nemmeno con le luci,joy
Ho iniziato a sentirmi un po' vulnerabile quando i riflettori giganti hanno iniziato ad accecarmi,fear
"sono sicuro che gran parte del vantaggio sia psicologico, la sensazione di aver sconfitto la concorrenza che ora è irrimediabilmente gravata dal loro grande salto dalla corona",sadness
"Non sono vegetariano e probabilmente non lo sarò mai, ma mi sento sempre più solidale con coloro che lo sono e con gli animali che vengono macellati per il nostro bene",sadness
Ti consiglio il bacon per cena se vuoi avere la sensazione di fare qualcosa di sconcio,anticipation
Sono arrivato a casa provando un po' di rimorso e un po' turbato,sadness
Ho voglia di aspettare che tu sia online e non l'hai fatto mi fa arrabbiare,anger
"Voglio dire, se qualcuno scrivesse una fanfiction sul mio libro e rendesse gay il mio cattivo per dire Druian, starei seduto lì a leggerlo e mi sentirei furioso",anger
sento l'acqua fresca sulla mia pelle e il sole che mi abbraccia in un caldo conforto,joy
sento qualcosa internamente sono convinto di sentire il battito del mio ultimo respiro ruttare qualunque cosa,optimism
"Ho la sensazione spesso e spesso che sia pericoloso aspettare le cose che, se aspetti, vanno solo sempre più lontano",fear
"Mi sento meschino, quindi mi convinco che non me ne frega niente",anger
Ho questa brutta sensazione di essere odiato,disgust
"stavo per raccontarti qualcosa in più del mio viaggio in Oregon, ma al momento non mi sento particolarmente a mio agio e leggere delle vacanze di altri diventa un po' noioso, vero?",sadness
Lascio la riunione sentendomi più che un po' scoraggiato,sadness
mi sento fortunato davvero,joy
"potevo sentire i muscoli dell'arco plantare, delle caviglie e dei polpacci, lavorare per sostenere il mio passo e mi sentivo molto più aggraziato",joy
mi sento meglio senza,sadness
mi sentivo abbastanza soddisfatto di me stesso per l'aggiunta di uccelli di due anni e così ho deciso di fare una passeggiata nella zona della caserma dei pompieri che in passato ha prodotto ottimi uccelli,joy
Voglio che le persone abbiano la certezza che se fossero sulla mia sedia se ne andrebbero con un aspetto e una sensazione meravigliosi,optimism
Ricordo anche che mi sentivo come se tutti gli occhi fossero puntati su di me tutto il tempo e non in modo glamour e lo odiavo,anger
penso semplicemente di sentirmi per lo più incerto,sadness
mi sento così bello come il ghiaccio t huhwe neun gatda beoryeo inestimabile sesang ye ban bani namja neottaemune na ulji anha gucha hage neoreul jabgeo na mae dallil ireun jeoldae no,joy
ultimamente mi sento come se fossi stato torturato nel sonno e non sono sicuro del perché,sadness
"mi sento rinvigorito, pieno di energia, pronto per la giornata a venire",joy
"ho davvero la minima idea di cosa provi il mio ex riguardo a qualsiasi cosa, tranne che odiava quando non riavvitavo i coperchi dei barattoli in cucina",anger
mi sono svegliato sentendomi brutto e sono sicuro di sembrare un disastro,anger
sento uno strano obbligo di essere interessato e incoraggiante anche quando il ragazzo sta chiaramente prendendo per il culo,anger
ho contribuito con le mie idee e opinioni durante le discussioni e sento di aver contribuito con idee che sono state apprezzate e prese in considerazione,optimism
stavo iniziando a sentirmi un po' dispiaciuto per la rottura quindi ho pensato di scrivere questa lista per ricordarmi il motivo per cui ho interrotto il rapporto,sadness
"non vedo l'ora che finisca la scuola per potermi mettere una canottiera e dei pantaloncini e andare in palestra per liberare le tossine, fare stretching e realizzare che i compiti sono importanti ma sentirsi bene è ancora meglio",optimism
non so che questa merda succeda ma ogni volta che scopro l'ennesimo cimitero segreto improvvisato pieno di ossa di donne sento quell'impotenza rabbiosa proprio come se fosse la prima volta,anger
"non mi sento indignato dal cambio di nome cambiare tanjore in thanjavur e mysore in mysuru ha più senso ma dato che le città precedenti hanno preso il nome dalle stesse persone che le hanno rese quello che sono oggi, da semplici villaggi a grandi centri di potere, non è una cosa crimine mantenere quei nomi",anger
Sono più colto e sento che sto diventando più intelligente e articolato,optimism
mi sento così terrorizzato nel dirglielo,fear
mi sento piuttosto marcio,anger
"Non sono davvero terrorizzato dal parto questa volta e anche se so che qualunque cosa accada inaspettatamente puoi davvero sopravvivere e anche se l'autrice della mia agenda per bambini sarebbe raggiante di orgoglio per aver seguito le sue istruzioni alla lettera, mi sento ancora un po' incerto",fear
Possiedo che i pennelli vengono utilizzati costantemente e ritengo che siano un investimento utile,optimism
"non mi sono pentito di nulla dopo averlo acquistato e ne sono così soddisfatto, grazie lt",joy
mi sento solo e lui mi parla sempre,sadness
mi sento già abbastanza repressa così com'è e questo tipo di misure e linee guida repressive riescono solo a farmi desiderare di fare più sesso e di partecipare alla baldoria che deriva dall'essere una sporca troia,anger
"posso solo sentirmi rifiutato, messo da parte e ferito per così tanto tempo prima di trovare abbastanza coraggio per rialzarmi e andare avanti",sadness
"Sono ansioso di andare avanti, ma finora non mi sono applicato completamente",anticipation
mi sento sopraffatto dalle circostanze in tutta la mia mera umanità ricorderò che Dio è atterrato qui,joy
mi sento un po' vulnerabile,fear
Non lo comprerei ma se qualcuno mi desse un documento d'identità lo indosserei se mi sentissi particolarmente vanitoso quel giorno ma non proprio,disgust
Non mi sento ancora devastato dalla rottura,sadness
sono di giorno e mi sento benissimo,joy
mi sento quasi un po' strano nel dire qualcosa perché sembrerebbe quasi un pettegolezzo,sadness
mi sono sentito adeguatamente punito,anger
mi sento sempre vagamente sospettoso nel fornire i miei dati personali a sconosciuti a caso mi dico di non dirle la mia vera data di nascita,fear
"Penso che, poiché si sentiva un po' umiliato, non avevano un'alternativa eccellente e volevano che tutti noi chiarissimo il fatto che lo stop mutuo funziona",anger
non riesco a superare la sensazione di stordimento,surprise
"cominciai a sentirmi tremante, il mio cuore batteva forte, mi sentivo come qualcuno che avesse bevuto caffè tutto il giorno",fear
Spero che anche tutti voi epers vi sentiate benissimo,joy
"faccio recensioni solo sulla base della mia esperienza personale, per favore non sentitevi insultati o scoraggiati dalle mie parole, intendo solo consigliare",optimism
"Mi sento molto vulnerabile ed esposto anche quando ero a scuola, non avrei mai pensato che sarebbe stata così la mia vita",sadness
Sento che per la morte di questa bambina innocente non mi fido di lei o della sua storia,disgust
So che quando vedo il colore viola mi fa sentire tranquillo,optimism
mi sento meno scontroso dopo,sadness
"devo essere in grado di perseguire le opportunità creative che desidero senza sentirmi come se stessi gettando la mia famiglia sotto un autobus, è strano come vogliano ancora essere nutriti anche quando ho un grosso concerto da preparare",sadness
"Mi piacciono di più quelli nuovi, ritengo che siano superiori agli originali in ogni singolo aspetto",joy
posso provare un senso di conforto con dolcezza nostalgica,joy
Sono tornato a casa con queste cianfrusaglie sentendomi molto soddisfatto di me stesso e pronto per un po' di sole britannico,joy
Sono fermamente convinto che coloro che puntano il dito e desiderano controllare la vita di altre persone non si sentono molto sereni e soddisfatti della propria vita,sadness
"non sento il bisogno di dirlo, anche se mi sento un po' sospettoso riguardo al fatto che lo stia facendo solo per cercare di raggruppare tutte le persone che si sono prese la briga di discutere in modo convincente con lei con la donna che odia i misogini",anger
Raramente mi sento ispirato e pronto a scrivere,optimism
mi sento fedele agli sport con la gonna,optimism
Devo pensare per giorni a cosa mandargli un messaggio e mi sento davvero nervoso se non risponde,fear
Sono un po' sollevato ma allo stesso tempo mi sento scoraggiato,sadness
Mi sono sintonizzato su un po' di musica country l'anno scorso ma mi ha lasciato solo un senso di vuoto,sadness
Ho attacchi di panico quando squilla il telefono e mi sento così isolato,fear
ho avuto un attacco epilettico non mi è permesso partecipare anche se mi sento bene,sadness
Credo fermamente che non dovresti spendere molto per avere un aspetto fantastico e adoro mescolare capi di stile con capi di fascia alta,joy
"mi sento un pazzo per le cose che mi incuriosiscono, ma vedo la vita come un'avventura in cui posso imbarcarmi e voglio trarne ogni grammo di buono",optimism
sento di aver avuto momenti affrettati in cui inizio a dare per scontata questa vita qui semplicemente li guardo loro mi guardano e la mia vita piena di grazia diventa di nuovo il palcoscenico verruche schiacciate vermi sotto i piedi e tutti gli altri conflitti che ne derivano,optimism
Mi dispiace per lui e sono comprensivo perché ho conosciuto persone che hanno lottato con la dipendenza dall'alcol e dalla droga,sadness
mi sento benissimo ed è un investimento per qualcosa di più grande,joy
la mia esperienza positiva o negativa dipende in gran parte da quanto sento che il controllo mi è stato rispettato o mi è stato tolto,optimism
"Mi sento solo insicuro e anche se posso facilmente diagnosticare queste disposizioni, non aiuta",sadness
"Sono stato seduto sulla mia sedia a rotelle per spostare la biancheria e, anche se la sedia non è molto manovrabile a causa dei confini della piccola zona lavanderia, almeno mi sembra abbastanza sicura anche se è ancora piuttosto difficile",fear
aspetto di sentire se ritieni che dovrei trovarlo accettabile,anticipation
mi sento molto pentito in questo momento,sadness
"parlare con un caro amico che aveva appena avuto una brutta esperienza che stava cambiando il suo modo di vedere la vita, ecc",sadness
quando ho notato due ragni che correvano sul pavimento in direzioni diverse,fear
Mi sento così rinvigorito e così pronto a continuare a spingere verso l'obiettivo,joy
mi sento un supereroe ora che fa un pisolino e dorme nella sua culla,joy
sento che è uno degli strumenti più preziosi nella mia scatola d'arte,joy
Ho iniziato a sentirmi molto meglio riguardo alla situazione e ho deciso di continuare a fare quello che stavo facendo,optimism
Mi sento deluso e ingrato,sadness
"ritengo che la cultura popolare, soprattutto nel Regno Unito e negli Stati Uniti, sia impantanata in uno sgradevole mix di squallore e stupidità",anger
Voglio sentirmi bene ma durante quella breve settimana non ne hai la possibilità,optimism
Mi sento come se fossi l'unico a sentire la sua mancanza e per questo mi sento un po' stupido a sentirne la mancanza così tanto,sadness
l'ho fatto però e mi sono svegliato sentendomi benissimo,joy
So che parte del problema è che mi sento come se fossi diventato più noioso e meno interessante da quei giorni,sadness
sento quella rabbia verso qualcun altro che non si preoccupa del fatto che qualcun altro sia egoista creando l'impressione negativa di qualcun altro che non si accorge della persona accanto a lui che non saluta qualcuno che deve riconoscere dov'è il mio buon cuore,anger
mi sento così inutile mentre sono piegato qui sul pavimento,sadness
So che tesoro tra un mese compirà i suoi anni ma hai ancora vent'anni è difficile capire cosa sta succedendo tranne che la sensazione non è piacevole,sadness
"mi sento amareggiato per il fatto di essere così, ma in realtà non lo sono",anger
Ho pensato che sarebbe stato divertente e terapeutico e che mi sarei sentita utile e disponibile mantenendo il suo blog,optimism
mi sento abbastanza fiducioso nel dirlo,optimism
non parlo più di qualche parola della lingua locale e devo contare su di lui per tradurre le conversazioni mi sento sottomesso,sadness
Sento che se riesco a superare questa settimana andrà tutto bene,optimism
Voglio essere di nuovo felice e ho dimenticato cosa vuol dire sentirsi contenti,joy
"Mi sono sentito così grato, umiliato e benedetto per la mia famiglia e per dove siamo nella nostra vita",joy
mi sento molto umiliato dalla bellezza di ogni cosa,anger
"Mi sento un po' bisognoso, continuo a pensare che apprezzerei qualche attenzione, ma ovviamente non è vero",sadness
li sento e non posso accontentarmi di diventare una suora vedova o qualcosa del genere è ciò che diventano per me nella mia testa,sadness
Mi sento privilegiato e più che fortunato ad averlo incontrato,joy
mi sento scoraggiato e mi rendo conto che devo guardare le cose da una prospettiva diversa per essere grato per tutto ciò che riesco a trovare,optimism
"Voglio sentirmi carino, bello o qualcosa del genere",joy
devo dire che mi sento davvero poco utile per l'andamento del secondo tempo la sostituzione della maglia più il phon dell'allenatore,joy
Sono molto entusiasta di viaggiare perché non capita spesso di viaggiare e sicuramente non capita spesso di farlo gratuitamente,joy
entro in un ristorante o in qualsiasi luogo pubblico mi sento come se tutti gli occhi fossero puntati su di me e mi sento davvero paranoico,fear
La prossima volta che sentirò il bisogno di scrivere qualcosa di così lamentoso mi limiterò a tagliarlo e incollarlo,anger
"mi sentivo e sono rimasto sorpreso quando gli ho detto che mi sentivo bene, senza stanchezza",sadness
mi è piaciuto particolarmente ascoltare le canzoni d'amore sui fucili nell'audiolibro perché sembrava dare ancora più profondità e sentimento a quello che è davvero un romanzo molto speciale,joy
Quello che posso dire è che mi sento me stesso quando indosso una gonna con i tacchi e un rossetto e quando indosso abiti che sono stati accettati come neutri e anonimi come una maglietta e dei jeans non mi sento me stesso,anger
